x_m y_m wss_mag_dyn_cm2 wss_x_dyn_cm2 wss_y_dyn_cm2 pressure_Pa normal_x normal_y
-3.9838259823e-04 1.1634281514e-06 6.0113662896e-01 4.8800050736e-01 3.5102813490e-01 2.3510013042e+01 -5.8394068502e-01 8.1179632691e-01
-3.9214542924e-04 6.1188744864e-06 2.0104164044e+00 1.5229240552e+00 1.3124314996e+00 2.3672919928e+01 -6.5281575336e-01 7.5751672732e-01
-3.8915281714e-04 8.7504101869e-06 2.7194191940e+00 2.0241290309e+00 1.8160788581e+00 2.3729887090e+01 -6.6781865118e-01 7.4432402160e-01
-3.8619166399e-04 1.1417676738e-05 3.4787184452e+00 2.5801834318e+00 2.3332671255e+00 2.3773254216e+01 -6.7072606257e-01 7.4170516311e-01
-3.8322521336e-04 1.4079020409e-05 4.2519229381e+00 3.1761065899e+00 2.8268702838e+00 2.3803115732e+01 -6.6484513594e-01 7.4698122146e-01
-3.8023395872e-04 1.6712398515e-05 5.0110216583e+00 3.7790937982e+00 3.2907124037e+00 2.3822629931e+01 -6.5669490738e-01 7.5415634893e-01
-3.7721240541e-04 1.9310921740e-05 5.7646750445e+00 4.3937685549e+00 3.7317926329e+00 2.3834224525e+01 -6.4735524623e-01 7.6218841842e-01
-3.7415689537e-04 2.1869383415e-05 6.5119239948e+00 5.0219969278e+00 4.1454433986e+00 2.3838060223e+01 -6.3659271852e-01 7.7120017553e-01
-3.6793114624e-04 2.6845548923e-05 7.9894239511e+00 6.3208566822e+00 4.8864778597e+00 2.3824099088e+01 -6.1161829559e-01 7.9115299437e-01
-3.6475614679e-04 2.9253972959e-05 8.7429999854e+00 7.0137248097e+00 5.2199341988e+00 2.3804713692e+01 -5.9704154266e-01 8.0221031927e-01
-3.6153325904e-04 3.1597758066e-05 9.4739512376e+00 7.7231191213e+00 5.4871835298e+00 2.3774696511e+01 -5.7918638087e-01 8.1519515223e-01
-3.5825659772e-04 3.3865621440e-05 1.0143467411e+01 8.4110068135e+00 5.6696468580e+00 2.3733745979e+01 -5.5894563747e-01 8.2920430194e-01
-3.5492448785e-04 3.6051166070e-05 1.0739161126e+01 9.0533711877e+00 5.7763355027e+00 2.3685856976e+01 -5.3787585777e-01 8.4302405756e-01
-3.5154014107e-04 3.8155017477e-05 1.1268740121e+01 9.6394408596e+00 5.8365815200e+00 2.3636017661e+01 -5.1794446026e-01 8.5541424824e-01
-3.4810892107e-04 4.0181609746e-05 1.1776753646e+01 1.0205072930e+01 5.8777898002e+00 2.3582523298e+01 -4.9910102367e-01 8.6654380626e-01
-3.4463172354e-04 4.2128103385e-05 1.2260364134e+01 1.0770672572e+01 5.8574005370e+00 2.3521133086e+01 -4.7775094386e-01 8.7849532477e-01
-3.3752595887e-04 4.5734706386e-05 1.2978949721e+01 1.1746532759e+01 5.5201543474e+00 2.3361701337e+01 -4.2531595128e-01 9.0504493899e-01
-3.3388982995e-04 4.7364005189e-05 1.3050654152e+01 1.2004066333e+01 5.1207387420e+00 2.3263257010e+01 -3.9237410495e-01 9.1980571958e-01
-3.3019804397e-04 4.8863085188e-05 1.2838356144e+01 1.1977771667e+01 4.6212957456e+00 2.3167826715e+01 -3.5996008319e-01 9.3296770497e-01
-3.2646006642e-04 5.0243598496e-05 1.2303031556e+01 1.1601446619e+01 4.0952438040e+00 2.3078188731e+01 -3.3286461027e-01 9.4297462916e-01
-3.2268261856e-04 5.1512082642e-05 1.1312873831e+01 1.0778428025e+01 3.4360738683e+00 2.3021114482e+01 -3.0373129937e-01 9.5275773299e-01
-3.1890379219e-04 5.2775746160e-05 1.0290119087e+01 9.7118947065e+00 3.4008310795e+00 2.3062473810e+01 -3.3049482235e-01 9.4380780480e-01
-3.1518732509e-04 5.4208042308e-05 1.0070708371e+01 9.2801691078e+00 3.9112182783e+00 2.3153130966e+01 -3.8837568662e-01 9.2150112645e-01
-3.0791596002e-04 5.7470206097e-05 1.0840815049e+01 9.8078888643e+00 4.6182883142e+00 2.3223235495e+01 -4.2600932617e-01 9.0471877068e-01
