x_m,y_m,sigma_xx_Pa,sigma_xy_Pa,sigma_yy_Pa,von_mises_Pa,sigma_max_principal_Pa,sigma_min_principal_Pa,sigma_tension_Pa,sigma_comp_mag_Pa,is_surface,wss_mag_dyn_cm2,wss_x_dyn_cm2,wss_y_dyn_cm2,pressure_Pa,normal_x,normal_y
3.8610859455e-04,3.0684089777e-05,-6.8885301340e+00,-1.1261817341e+01,2.0284969013e+01,3.0529977214e+01,2.4324710003e+01,-1.0928271123e+01,2.4324710003e+01,1.0927969428e+01,1.0000000000e+00,1.8800119499e+00,8.0821867154e-01,-1.6974178952e+00,1.3740616104e+01,9.0287612014e-01,4.2990081609e-01
3.7699280766e-04,4.8225450049e-05,-7.0810062244e+00,-1.0098857244e+01,1.1701631392e+01,2.3875505552e+01,1.6094842141e+01,-1.1474216974e+01,1.6094842141e+01,1.1474217316e+01,1.0000000000e+00,4.8324232402e+00,2.4701899105e+00,-4.1533692562e+00,1.3603814581e+01,8.5947961297e-01,5.1117002541e-01
3.7197908232e-04,5.6420351918e-05,-7.0090426860e+00,-9.7253701248e+00,8.7220251591e+00,2.1655948920e+01,1.3359559175e+01,-1.1646576702e+01,1.3359559175e+01,1.1646576701e+01,1.0000000000e+00,6.1708761936e+00,3.3579858602e+00,-5.1772235763e+00,1.3582156940e+01,8.3897706159e-01,5.4416678521e-01
3.6666609163e-04,6.4258288433e-05,-6.8749505092e+00,-9.4025767647e+00,6.2486967274e+00,1.9853111936e+01,1.1149072630e+01,-1.1775326412e+01,1.1149072630e+01,1.1775326411e+01,1.0000000000e+00,8.2385341419e+00,4.8805964481e+00,-6.6372602117e+00,1.3584886592e+01,8.0563606309e-01,5.9241078134e-01
3.6106522023e-04,7.1752502755e-05,-6.6941248191e+00,-9.1173609946e+00,4.1621406342e+00,1.8373234121e+01,9.3417995733e+00,-1.1873783758e+01,9.3417995733e+00,1.1873783758e+01,1.0000000000e+00,9.6291512549e+00,6.0023522799e+00,-7.5294303236e+00,1.3610474258e+01,7.8194122455e-01,6.2335216480e-01
3.5816100799e-04,7.5374117399e-05,-6.5902319272e+00,-8.9856429808e+00,3.2343746417e+00,1.7732887723e+01,8.5601588578e+00,-1.1916016143e+01,8.5601588578e+00,1.1916016143e+01,1.0000000000e+00,1.0317056511e+01,6.5863968576e+00,-7.9410976251e+00,1.3628429544e+01,7.6970574082e-01,6.3839883502e-01
3.5518992344e-04,7.8913640915e-05,-6.4772612709e+00,-8.8613718055e+00,2.3750520247e+00,1.7152013445e+01,7.8516149567e+00,-1.1953824203e+01,7.8516149567e+00,1.1953824203e+01,1.0000000000e+00,1.1003485519e+01,7.1868156797e+00,-8.3322490334e+00,1.3651447961e+01,7.5723724259e-01,6.5313992255e-01
3.5215374506e-04,8.2372212053e-05,-6.3566238142e+00,-8.7430503074e+00,1.5766703254e+00,1.6624890181e+01,7.2084080769e+00,-1.1988361566e+01,7.2084080769e+00,1.1988361566e+01,1.0000000000e+00,1.1679945749e+01,7.7970102475e+00,-8.6964224766e+00,1.3677905716e+01,7.4456017722e-01,6.6755534789e-01
3.4905425750e-04,8.5750812935e-05,-6.2294849606e+00,-8.6300715439e+00,8.2967256365e-01,1.6145943859e+01,6.6219588347e+00,-1.2021771232e+01,6.6219588347e+00,1.2021771232e+01,1.0000000000e+00,1.3006838280e+01,9.0448578022e+00,-9.3471059364e+00,1.3742175959e+01,7.1863013401e-01,6.9539250103e-01
3.4267244806e-04,9.2271803855e-05,-5.9568903929e+00,-8.4187602869e+00,-5.2070580614e-01,1.5319401721e+01,5.6058626081e+00,-1.2083458807e+01,5.6058626081e+00,1.2083458807e+01,1.0000000000e+00,1.4289900111e+01,1.0315325719e+01,-9.8891506456e+00,1.3818987934e+01,6.9203777275e-01,7.2186128937e-01
3.3939371025e-04,9.5415867719e-05,-5.8118094920e+00,-8.3192255844e+00,-1.1372517374e+00,1.4964075208e+01,5.1649822351e+00,-1.2114043464e+01,5.1649822351e+00,1.2114043464e+01,1.0000000000e+00,1.4913897373e+01,1.0955269090e+01,-1.0119605429e+01,1.3863675862e+01,6.7853527321e-01,7.3456782057e-01
3.3266907126e-04,1.0147530317e-04,-5.5053642255e+00,-8.1310511870e+00,-2.2597151938e+00,1.4358344033e+01,4.4072540827e+00,-1.2172333502e+01,4.4072540827e+00,1.2172333502e+01,1.0000000000e+00,1.6115993518e+01,1.2230974914e+01,-1.0494212677e+01,1.3959164419e+01,6.5116759108e-01,7.5893396836e-01
3.2218916976e-04,1.1000304466e-04,-5.0099681078e+00,-7.8689186067e+00,-3.7281774082e+00,1.3672673203e+01,3.5248487963e+00,-1.2262994312e+01,3.5248487962e+00,1.2262994312e+01,1.0000000000e+00,1.8370005093e+01,1.4760423241e+01,-1.0935583791e+01,1.4181959729e+01,5.9529563200e-01,8.0350675823e-01
3.1495899242e-04,1.1532136917e-04,-4.6564243587e+00,-7.7053313737e+00,-4.5868133586e+00,1.3344724276e+01,3.0829612946e+00,-1.2326199012e+01,3.0829612959e+00,1.2326199012e+01,1.0000000000e+00,1.9412909377e+01,1.5992011612e+01,-1.1005299409e+01,1.4306877407e+01,5.6690623726e-01,8.2378232450e-01
3.1127530007e-04,1.1787216633e-04,-4.4726126302e+00,-7.6256260522e+00,-4.9862274430e+00,1.3214231602e+01,2.8998201358e+00,-1.2358660209e+01,2.8998201334e+00,1.2358660209e+01,1.0000000000e+00,1.9916333835e+01,1.6599071342e+01,-1.1005961295e+01,1.4373037780e+01,5.5260980190e-01,8.3344010393e-01
3.0377759961e-04,1.2275936663e-04,-4.0895018917e+00,-7.4739109887e+00,-5.7289388457e+00,1.3021690225e+01,2.6088559883e+00,-1.2427296726e+01,2.6088560077e+00,1.2427296726e+01,1.0000000000e+00,2.0889120949e+01,1.7794202846e+01,-1.0941742050e+01,1.4509663950e+01,5.2380098122e-01,8.5184067294e-01
2.9996616952e-04,1.2509656945e-04,-3.8883078173e+00,-7.3996915352e+00,-6.0765680650e+00,1.2954900750e+01,2.4970774939e+00,-1.2461953376e+01,2.4970774052e+00,1.2461953376e+01,1.0000000000e+00,2.1358618794e+01,1.8381200000e+01,-1.0877595477e+01,1.4580451209e+01,5.0928365646e-01,8.6059872023e-01
2.9222422179e-04,1.2955981045e-04,-3.4682982625e+00,-7.2553662327e+00,-6.7283279008e+00,1.2878800692e+01,2.3372659648e+00,-1.2533892128e+01,2.3372659648e+00,1.2533892128e+01,1.0000000000e+00,2.2268612010e+01,1.9535861489e+01,-1.0688367356e+01,1.4729127266e+01,4.7997456470e-01,8.7728240450e-01
2.7629344073e-04,1.3764562433e-04,-2.5324773762e+00,-6.9805070151e+00,-7.8849071431e+00,1.2947583591e+01,2.2665986118e+00,-1.2683983131e+01,2.2665924170e+00,1.2683983131e+01,1.0000000000e+00,2.4424385554e+01,2.2342273495e+01,-9.8677973620e+00,1.5138608103e+01,4.0401414971e-01,9.1475273535e-01
2.6398170612e-04,1.4297049861e-04,-1.7071177880e+00,-6.7838953488e+00,-8.6488216510e+00,1.3197452173e+01,2.4415828451e+00,-1.2797522284e+01,2.4415709964e+00,1.2797522284e+01,1.0000000000e+00,2.5701974987e+01,2.4034939282e+01,-9.1056692210e+00,1.5418760173e+01,3.5427896983e-01,9.3513978182e-01
