x_m y_m von_mises_Pa wss_mag_dyn_cm2
3.8622363884e-04 3.0665722159e-05 3.0361582810e+01 1.7915507427e+00
3.7718357537e-04 4.8237316124e-05 2.3867076399e+01 4.6964135554e+00
3.7220348282e-04 5.6456469855e-05 2.1700555343e+01 6.0215661519e+00
3.6692046132e-04 6.4322627876e-05 1.9936029045e+01 8.0733517795e+00
3.6134596570e-04 7.1847909155e-05 1.8484251822e+01 9.4514303000e+00
3.5845366940e-04 7.5485907784e-05 1.7855217883e+01 1.0135399562e+01
3.5549369775e-04 7.9042263520e-05 1.7283486799e+01 1.0814226145e+01
3.5246790020e-04 8.2518048493e-05 1.6763976206e+01 1.1486734503e+01
3.4937813198e-04 8.5914242634e-05 1.6291772981e+01 1.2800534283e+01
3.4301395603e-04 9.2471537051e-05 1.5476867616e+01 1.4069911526e+01
3.3974322431e-04 9.5634315970e-05 1.5126515113e+01 1.4684047865e+01
3.3641574297e-04 9.8721001732e-05 1.4812744077e+01 1.5285105773e+01
3.3303325381e-04 1.0173237861e-04 1.4529644807e+01 1.5871289046e+01
3.2611017113e-04 1.0753202386e-04 1.4051872938e+01 1.7557464100e+01
3.2257284218e-04 1.1032173219e-04 1.3854827603e+01 1.8090434582e+01
3.1535449479e-04 1.1568424478e-04 1.3533442163e+01 1.9110386141e+01
3.0418995389e-04 1.2319476246e-04 1.3218910066e+01 2.0549679249e+01
2.9265349230e-04 1.3007786254e-04 1.3081729834e+01 2.2307725790e+01
2.8077732839e-04 1.3634452884e-04 1.3105105707e+01 2.3526488218e+01
2.6445975716e-04 1.4375016566e-04 1.3384484480e+01 2.5462772902e+01
2.5188513427e-04 1.4858773242e-04 1.3801183136e+01 2.6614179383e+01
4.3982533373e-05 1.4903275386e-04 2.5566916929e+01 2.6698990447e+01
3.1657834428e-05 1.3911150900e-04 5.8800906861e+01 8.4799918264e+00
2.9673589729e-05 1.3840601426e-04 5.3241198825e+01 4.8265996194e+00
1.2376671575e-05 1.3452981104e-04 2.8307915953e+01 1.0512509801e+01
-6.3217762168e-06 1.3203305116e-04 1.4666779334e+01 1.3221018088e+01
-2.3145433552e-05 1.3036536547e-04 8.9438430703e+00 1.5277441688e+01
-4.0381646336e-05 1.2879023672e-04 1.8819282838e+00 1.6546410427e+01
-4.2875693770e-05 1.2855842024e-04 1.5365951275e+00 1.6799568095e+01
-5.7988414774e-05 1.2709033131e-04 5.8160087350e+00 1.7443312849e+01
-6.0530101434e-05 1.2682967641e-04 6.6443936212e+00 1.7621955135e+01
-7.5899557332e-05 1.2514452103e-04 1.1303215768e+01 1.8189314809e+01
-7.8479214250e-05 1.2484127206e-04 1.2025643305e+01 1.8298408251e+01
-9.1443619061e-05 1.2321684706e-04 1.5352849937e+01 1.8558591871e+01
-9.4048424898e-05 1.2286907591e-04 1.5969334097e+01 1.8624697237e+01
-1.0974555700e-04 1.2060899019e-04 1.9362204676e+01 1.8799641272e+01
-1.1237149493e-04 1.2020208083e-04 1.9879707816e+01 1.8799641272e+01
-1.2553267208e-04 1.1803032535e-04 2.2262706657e+01 1.8849422723e+01
-1.2817003966e-04 1.1756771629e-04 2.2702924061e+01 1.8849422723e+01
-1.4137351951e-04 1.1510743495e-04 2.4734596782e+01 1.8792626205e+01
-1.4401641904e-04 1.1458522499e-04 2.5110076009e+01 1.8792626205e+01
-1.5723331134e-04 1.1181809662e-04 2.6844666546e+01 1.8641255175e+01
-1.6251826175e-04 1.1063671875e-04 2.7478080369e+01 1.8589696627e+01
-1.7307834489e-04 1.0814238837e-04 2.8653167097e+01 1.8403493747e+01
-1.7835102325e-04 1.0682809014e-04 2.9198256280e+01 1.8330388111e+01
-1.8624747746e-04 1.0477088875e-04 2.9974705696e+01 1.8168980416e+01
-1.9412529837e-04 1.0260890249e-04 3.0704009738e+01 1.7985594268e+01
-1.9936482664e-04 1.0110838338e-04 3.1158845374e+01 1.7779898073e+01
-2.0198043775e-04 1.0034014937e-04 3.1380794241e+01 1.7779898073e+01
-2.0720253038e-04 9.8767455561e-05 3.1806820629e+01 1.7550544129e+01
-2.1501052894e-04 9.6316891893e-05 3.2405037070e+01 1.7296284813e+01
-2.1760582883e-04 9.5475444730e-05 3.2594447823e+01 1.7296284813e+01
-2.2278443487e-04 9.3755366657e-05 3.2951425653e+01 1.7015778871e+01
-2.3051948312e-04 9.1082023930e-05 3.3416762822e+01 1.6706330655e+01
-2.3820968181e-04 8.8296865668e-05 3.3708103292e+01 1.6369873181e+01
-2.4330612834e-04 8.6378463909e-05 3.3748898949e+01 1.6188008980e+01
-2.4584316033e-04 8.5400782603e-05 3.3834061329e+01 1.5994793315e+01
-2.5089395168e-04 8.3408169924e-05 3.4535748649e+01 1.5786491186e+01
-2.5842575854e-04 8.0323552608e-05 3.6624460479e+01 1.5324172896e+01
-2.6592546252e-04 7.7121722857e-05 3.8308469515e+01 1.4808381736e+01
-2.6841755763e-04 7.6029720302e-05 3.8754235899e+01 1.4528656635e+01
-2.7090524111e-04 7.4926163275e-05 3.9195079998e+01 1.4232876927e+01
-2.7338849329e-04 7.3811556522e-05 3.9645800757e+01 1.4232876927e+01
-2.7834203353e-04 7.1551450112e-05 4.0613683010e+01 1.3588107318e+01
-2.8081287747e-04 7.0407310845e-05 4.1132577491e+01 1.3588107318e+01
-2.8328016778e-04 6.9255025543e-05 4.1681724886e+01 1.3236945688e+01
-2.8574451690e-04 6.8095656344e-05 4.2271615046e+01 1.2864186865e+01
-2.9312795499e-04 6.4589327016e-05 4.4373946517e+01 1.2050783236e+01
-2.9558985630e-04 6.3417581694e-05 4.5219416791e+01 1.2050783236e+01
-2.9805483900e-04 6.2248654823e-05 4.6170611377e+01 1.1610711363e+01
-3.0052514232e-04 6.1086242582e-05 4.7244212673e+01 1.1140416403e+01
-3.1053387453e-04 5.6618597053e-05 5.3432613618e+01 9.6528757557e+00
-3.2148040048e-04 5.3208146819e-05 6.9116616166e+01 1.0150116849e+01
-3.2496250682e-04 5.2492939455e-05 6.8710146480e+01 1.1579342902e+01
-3.2953994579e-04 5.1383388728e-05 6.5845697611e+01 1.4653778133e+01
-3.3508916093e-04 4.9261286680e-05 7.6907792675e+01 1.5159939062e+01
-3.4061296450e-04 4.6474558661e-05 8.3801230110e+01 1.3805600680e+01
-3.4609114061e-04 4.3307645680e-05 8.9810629665e+01 1.2968992551e+01
-3.5156108228e-04 3.9827329726e-05 9.7460130996e+01 1.1417092630e+01
-3.5704814207e-04 3.6055131115e-05 1.0702641224e+02 1.0667662776e+01
-3.6816594794e-04 2.7620315047e-05 1.3471468336e+02 7.7843863885e+00
-3.7964221805e-04 1.7837211446e-05 1.8752834373e+02 4.8506528582e+00
9.5247399445e-05 1.5803715309e-04 1.4912965999e+01 2.7615053743e+01
3.0485893829e-04 1.1851199646e-04 1.3493026535e+01 2.0549679249e+01
3.2565485667e-04 1.0354509144e-04 1.4436175527e+01 1.7012901452e+01
-3.0381001385e-04 5.7096240539e-05 5.4131899069e+01 1.0654315777e+01
3.4534328871e-04 8.4932263995e-05 1.6449168155e+01 1.2800534283e+01
3.6043135206e-04 6.7866323644e-05 1.9210783898e+01 8.7628678358e+00
-1.4409225720e-05 1.2894978632e-04 1.0714653320e+01 1.4427980249e+01
7.1757820358e-06 1.3152932199e-04 1.9826193667e+01 1.1328209347e+01
2.7371577702e-05 1.3532276388e-04 3.5377854130e+01 4.8265996194e+00
8.0272310687e-05 1.5585678214e-04 1.6209987055e+01 2.8096173868e+01
3.7090466676e-04 5.2602651394e-05 2.2638080035e+01 6.0215661519e+00
3.8016404923e-04 3.6071301969e-05 2.7957152513e+01 2.8591387944e+00
2.8931194902e-04 1.2818487399e-04 1.3209993242e+01 2.2307725790e+01
-2.9038716023e-05 1.2761450496e-04 4.2303821772e+00 1.5637034609e+01
-1.9255584181e-05 1.2849567251e-04 8.6292666888e+00 1.4875738711e+01
-9.5878678105e-06 1.2942919471e-04 1.1917783431e+01 1.3657611328e+01
2.2992469161e-05 1.3421319316e-04 3.1761022305e+01 6.8916397161e+00
7.2309526158e-05 1.5498091027e-04 1.7230606394e+01 2.8242766235e+01
-2.5159899698e-04 8.1062742460e-05 3.7750665414e+01 1.5561925589e+01
2.9699786661e-04 1.2382531402e-04 1.3298335892e+01 2.1448765796e+01
3.5179803143e-04 7.8105754013e-05 1.7436322226e+01 1.1486734503e+01
3.7605358642e-04 4.4593342001e-05 2.4945448491e+01 4.0613244776e+00
3.9073829135e-04 1.2580895631e-05 4.4911447198e+01 5.0246839068e-02
-2.2352603829e-04 3.9582586521e-05 1.2808087574e+02 nan
1.1173170286e-04 6.6439029999e-05 3.3356294146e+01 nan
1.3267838981e-04 6.5347042534e-05 2.9347347266e+01 nan
2.7007053544e-04 6.5906149316e-05 1.2615492622e+01 nan
1.7746355863e-04 1.1817335813e-04 9.6344697925e+00 nan
1.5678906813e-04 1.1789315559e-04 1.0103324318e+01 nan
4.3565682429e-05 9.0748280947e-05 2.7581531066e+01 nan
-2.2424121558e-04 6.5968467086e-05 7.0430927977e+01 nan
2.4481673816e-04 3.8495211551e-05 3.6574978682e+01 nan
2.2569490312e-04 3.9096786895e-05 3.4365170097e+01 nan
2.8983168750e-04 9.1903445883e-05 1.3887451051e+01 nan
2.0232717426e-04 9.1518967120e-05 1.1042587463e+01 nan
3.3544150724e-04 6.6806221674e-05 1.8251237321e+01 nan
-1.5744485553e-04 6.6313934509e-05 7.7761115102e+01 nan
-8.9382454354e-05 6.4564500251e-05 8.3229228468e+01 nan
-6.7251133958e-05 6.4503328428e-05 8.4100299704e+01 nan
-4.5103026598e-05 6.4758137500e-05 8.3677867836e+01 nan
-2.3101872642e-05 6.5456137355e-05 8.0289650771e+01 nan
4.7670407270e-07 6.5032481837e-05 7.2798955305e+01 nan
1.8074057097e-04 9.2213024432e-05 1.2199781863e+01 nan
4.4035408604e-05 1.1781169085e-04 1.2355242286e+01 nan
1.5626428657e-04 1.4401726723e-04 1.1319480362e+01 nan
2.7070589651e-04 9.1353742712e-05 1.2446577997e+01 nan
2.9171470262e-04 3.7964863511e-05 1.5565260355e+01 nan
9.0743981510e-05 6.4884016528e-05 3.8976302817e+01 nan
2.0274432634e-04 3.8766320814e-05 3.6059541246e+01 nan
-1.5557788750e-04 3.9186934042e-05 1.3119661576e+02 nan
6.8432997810e-05 3.9353189273e-05 8.7997488846e+01 nan
8.8726558260e-05 3.9037602937e-05 7.5338424072e+01 nan
1.5619021942e-04 9.1800386005e-05 1.3926221863e+01 nan
2.2380594298e-04 6.6389130976e-05 1.6404037213e+01 nan
1.8060161606e-04 1.3525656113e-05 8.9322609980e+01 nan
1.5692144020e-04 1.2254697497e-05 1.2337203509e+02 nan
1.3408590686e-04 1.3319271672e-05 1.4837096508e+02 nan
1.1092636629e-04 1.2814166738e-05 1.8448831282e+02 nan
-2.1680639322e-05 1.1975832943e-05 1.9520661532e+02 nan
-4.4788594626e-05 1.1895354959e-05 1.9686685299e+02 nan
1.7977644627e-04 1.4304368248e-04 1.0535472666e+01 nan
9.0823576826e-05 1.1763945451e-04 9.1350642382e+00 nan
1.1180700174e-04 9.1444476902e-05 1.7788135910e+01 nan
2.7043806204e-04 1.1725553171e-04 1.2939694025e+01 nan
-8.7982755499e-07 1.3623677423e-05 1.8882770902e+02 nan
-1.7929276343e-04 1.1945715884e-05 2.0605900505e+02 nan
-2.0208473007e-04 1.2022821431e-05 2.1054259479e+02 nan
2.0126581940e-04 1.4459543242e-04 1.0285118991e+01 nan
-1.8037519608e-04 6.5651676081e-05 7.7422623749e+01 nan
3.1258329105e-04 9.3026893849e-05 1.5043155471e+01 nan
2.6794589920e-04 3.8063006988e-05 2.4560589994e+01 nan
1.1336872433e-04 1.4516289106e-04 1.2956659752e+01 nan
9.0208932500e-05 1.4315592854e-04 1.1781529048e+01 nan
-2.2903198594e-05 1.1692097949e-04 1.4128047080e+01 nan
-7.7451241766e-07 1.1744668965e-04 1.5793582734e+01 nan
2.8998999094e-04 1.2107711513e-05 4.2633579674e+01 nan
2.7018956747e-04 1.1555594440e-05 4.4563130479e+01 nan
-2.1656177580e-05 9.2316142021e-05 4.4443164207e+01 nan
-4.4478950194e-05 9.1209554540e-05 4.5623819988e+01 nan
-6.7455391100e-05 9.0871869398e-05 4.5335460195e+01 nan
-2.2467426499e-04 1.2143935038e-05 2.1608545758e+02 nan
-6.6085878077e-05 1.1734709310e-04 1.4662833246e+01 nan
3.1414688852e-04 1.2961962578e-05 2.7174355186e+01 nan
2.2463483169e-04 9.0653582290e-05 9.9822812597e+00 nan
-1.1326874599e-04 9.1689770704e-05 4.4327780496e+01 nan
6.8995776172e-05 1.1789769322e-04 1.0451057859e+01 nan
-2.9035989030e-04 3.9876353678e-05 9.0998133921e+01 nan
-3.3584260797e-04 3.8378903621e-05 6.9199628548e+01 nan
2.2397958121e-04 1.4529469253e-04 1.2762375862e+01 nan
-1.1148758842e-04 1.1422664971e-04 2.3352337145e+01 nan
3.5814237047e-04 1.1737031133e-05 2.4308788516e+01 nan
1.3325538544e-04 1.1655793019e-04 1.0652359244e+01 nan
-2.0087665367e-04 9.2866780763e-05 3.8764509682e+01 nan
-1.1347134383e-07 9.2461875293e-05 4.1146184548e+01 nan
1.7955767735e-04 6.6596003396e-05 2.3044365625e+01 nan
1.5759445592e-04 6.4927967900e-05 2.5175470485e+01 nan
-6.7345338577e-05 4.0254634425e-05 1.2984684371e+02 nan
-9.0053484709e-05 3.8596117352e-05 1.3329332474e+02 nan
8.8972123676e-05 9.3371077574e-05 1.9695165454e+01 nan
1.5746580066e-04 3.7713734116e-05 4.7692209627e+01 nan
2.8941190418e-04 1.1812774137e-04 1.3493393051e+01 nan
-2.8726289135e-04 6.0355666564e-05 5.5549104910e+01 nan
-8.9835917251e-05 1.1752725909e-04 1.8345259087e+01 nan
-2.4254051178e-04 8.1174095451e-05 4.1194745739e+01 nan
-1.1237704449e-04 4.0370314217e-05 1.2897195366e+02 nan
-2.2447719205e-04 8.8610963088e-05 3.8030074229e+01 nan
-2.6840161624e-04 1.2831194723e-05 2.2063694377e+02 nan
-1.3480990803e-04 9.0657280674e-05 4.5643823011e+01 nan
2.4804667784e-04 9.3213537968e-05 1.0677998528e+01 nan
-1.3510819596e-04 3.8910815224e-05 1.3190997497e+02 nan
-1.6891660567e-04 1.0361900929e-04 3.2469286051e+01 nan
2.0524606808e-04 1.5366091158e-04 1.2510111118e+01 2.5220862422e+01
-1.4310902061e-04 1.1024413137e-04 2.7967000771e+01 1.8792626205e+01
-2.5398372062e-04 7.7462851901e-05 4.2146485743e+01 nan
-2.5639614272e-04 7.5850759305e-05 4.3606293360e+01 nan
-1.6433753860e-04 1.0575177851e-04 3.1001019733e+01 1.8533300263e+01
-2.9432157823e-04 5.8896444857e-05 5.4715096231e+01 nan
-2.9178949303e-04 6.0242349987e-05 5.3365952240e+01 1.2050783236e+01
-1.7176430221e-04 1.0414007429e-04 3.1855593196e+01 1.8403493747e+01
3.2136510726e-04 1.0258077883e-04 1.4537922506e+01 nan
3.4446725755e-04 8.0440839557e-05 1.7040045252e+01 nan
-1.2643694945e-04 1.1279313933e-04 2.5546422879e+01 nan
1.9778137558e-04 1.5448650744e-04 1.1692181907e+01 2.4275542064e+01
-3.1029095776e-04 5.2163390799e-05 6.2246189781e+01 9.6528757557e+00
-3.0477978837e-04 5.4182675251e-05 5.9781600750e+01 nan
-3.0210402993e-04 5.5284936831e-05 5.8464418034e+01 1.0654315777e+01
-2.8428061781e-04 6.4303186295e-05 4.9696997879e+01 1.2864186865e+01
