x_m y_m wss_mag_dyn_cm2 wss_x_dyn_cm2 wss_y_dyn_cm2 pressure_Pa normal_x normal_y
-3.9839191866e-04 1.1836787668e-06 5.2158911869e-01 4.2006091352e-01 3.0919902599e-01 2.3623029180e+01 -5.9280191037e-01 8.0534830667e-01
-3.9221483602e-04 6.2406604547e-06 1.8583956400e+00 1.3861340839e+00 1.2378475900e+00 2.3785615487e+01 -6.6608399386e-01 7.4587674124e-01
-3.8634765234e-04 1.1661226228e-05 3.2996084202e+00 2.4051485813e+00 2.2589103632e+00 2.3890196431e+01 -6.8459952681e-01 7.2891939739e-01
-3.8047646437e-04 1.7077865750e-05 4.8165030204e+00 3.5733464050e+00 3.2295350773e+00 2.3944352358e+01 -6.7051449228e-01 7.4189643188e-01
-3.7749685921e-04 1.9737700517e-05 5.5624691011e+00 4.1723068886e+00 3.6787114222e+00 2.3958625142e+01 -6.6134505295e-01 7.5008180949e-01
-3.7143210942e-04 2.4936311187e-05 7.0308978692e+00 5.4039429339e+00 4.4978801245e+00 2.3965561226e+01 -6.3973054483e-01 7.6859926491e-01
-3.6521419292e-04 2.9950557530e-05 8.4688942986e+00 6.6756547810e+00 5.2113149861e+00 2.3948494430e+01 -6.1534774227e-01 7.8825576819e-01
-3.6204545472e-04 3.2381849674e-05 9.1846917163e+00 7.3333852243e+00 5.5299207115e+00 2.3931041507e+01 -6.0208016582e-01 7.9843564169e-01
-3.5558316016e-04 3.7076618986e-05 1.0627699065e+01 8.7112889570e+00 6.0878101246e+00 2.3878907624e+01 -5.7282485020e-01 8.1967779706e-01
-3.4894318135e-04 4.1516016854e-05 1.2127210063e+01 1.0225394988e+01 6.5200092990e+00 2.3796908950e+01 -5.3763472927e-01 8.4317785661e-01
-3.4554877697e-04 4.3620337923e-05 1.2908089089e+01 1.1056268484e+01 6.6616582878e+00 2.3740212841e+01 -5.1608400296e-01 8.5653797458e-01
-3.3858578819e-04 4.7530777268e-05 1.4611730596e+01 1.2976468392e+01 6.7166910822e+00 2.3572909722e+01 -4.5967799898e-01 8.8808565874e-01
-3.3129006037e-04 5.0756404484e-05 1.5490812838e+01 1.4603506364e+01 5.1674833586e+00 2.3182122432e+01 -3.3358374494e-01 9.4272047029e-01
-3.2746908809e-04 5.1898118472e-05 1.4239123460e+01 1.3828894102e+01 3.3932764137e+00 2.2948840528e+01 -2.3830655190e-01 9.7118998518e-01
-3.1967175662e-04 5.3626558434e-05 1.0155949925e+01 9.8976841789e+00 2.2757782783e+00 2.2920486809e+01 -2.2408325121e-01 9.7457000597e-01
-3.1206441973e-04 5.6020842552e-05 9.4421055020e+00 8.7809346234e+00 3.4711011870e+00 2.3180692612e+01 -3.6761940292e-01 9.2997633013e-01
-3.0837293800e-04 5.7544494076e-05 9.9730269711e+00 9.1605391844e+00 3.9428148342e+00 2.3238787587e+01 -3.9534785634e-01 9.1853147605e-01
-3.0109049521e-04 6.0826484024e-05 1.1010906172e+01 9.9793754256e+00 4.6531839479e+00 2.3279529071e+01 -4.2259772947e-01 9.0631736111e-01
-2.9386712943e-04 6.4237727974e-05 1.1946102631e+01 1.0786278045e+01 5.1347418641e+00 2.3269421669e+01 -4.2982569484e-01 9.0291188499e-01
-2.9026043178e-04 6.5953915927e-05 1.2375381263e+01 1.1175702184e+01 5.3154249224e+00 2.3253331031e+01 -4.2951605363e-01 9.0305922268e-01
-2.8303761928e-04 6.9366382992e-05 1.3160656112e+01 1.1917824201e+01 5.5828608821e+00 2.3206451034e+01 -4.2420840073e-01 9.0556459336e-01
-2.7578725051e-04 7.2719810544e-05 1.3857057162e+01 1.2607445993e+01 5.7506815880e+00 2.3145784953e+01 -4.1500020680e-01 9.0982131672e-01
-2.7214827274e-04 7.4366388010e-05 1.4175935289e+01 1.2932932561e+01 5.8048597475e+00 2.3111628045e+01 -4.0948689657e-01 9.1231599873e-01
-2.6483915122e-04 7.7589645342e-05 1.4761258381e+01 1.3545969352e+01 5.8652760657e+00 2.3037972323e+01 -3.9734255130e-01 9.1767036398e-01
-2.5748621880e-04 8.0711627691e-05 1.5285479055e+01 1.4112296377e+01 5.8727302754e+00 2.2958715102e+01 -3.8420322022e-01 9.2324855027e-01
-2.5379299685e-04 8.2232612414e-05 1.5528820181e+01 1.4380490354e+01 5.8605250104e+00 2.2917193302e+01 -3.7739666904e-01 9.2605170169e-01
-2.4637261369e-04 8.5190650268e-05 1.5973421751e+01 1.4883398045e+01 5.7995400736e+00 2.2830515584e+01 -3.6307437217e-01 9.3176016242e-01
-2.3890744335e-04 8.8033773558e-05 1.6352504560e+01 1.5325412769e+01 5.7040449563e+00 2.2741199466e+01 -3.4881781780e-01 9.3719055159e-01
-2.3515908552e-04 8.9413302457e-05 1.6526221465e+01 1.5529983383e+01 5.6511602393e+00 2.2697318283e+01 -3.4195113815e-01 9.3971773375e-01
