x_m,y_m,wss_mag_dyn_cm2,wss_x_dyn_cm2,wss_y_dyn_cm2,pressure_Pa,normal_x,normal_y
-3.9839184165e-04,1.1862815219e-06,5.2367037965e-01,4.2141830322e-01,3.1086537317e-01,2.3637529384e+01,-5.9362794852e-01,8.0473962170e-01
-3.9524468167e-04,3.6475335465e-06,1.1894303541e+00,9.1594615830e-01,7.5880643266e-01,2.3731089990e+01,-6.3795785106e-01,7.7007128259e-01
-3.9221750145e-04,6.2566163325e-06,1.8359622682e+00,1.3670547282e+00,1.2255279761e+00,2.3800207694e+01,-6.6751261578e-01,7.4459848763e-01
-3.8927007098e-04,8.9565122014e-06,2.5292546401e+00,1.8466148993e+00,1.7283351665e+00,2.3858834172e+01,-6.8333774667e-01,7.3010240650e-01
-3.8635689674e-04,1.1693768811e-05,3.2820265963e+00,2.3874497829e+00,2.2520617471e+00,2.3904736809e+01,-6.8618022465e-01,7.2743157705e-01
-3.8343785548e-04,1.4424737303e-05,4.0423311954e+00,2.9631741009e+00,2.7495528258e+00,2.3937305665e+01,-6.8018989361e-01,7.3303595317e-01
-3.8049290238e-04,1.7127692199e-05,4.7935152246e+00,3.5491149086e+00,3.2220446264e+00,2.3959463313e+01,-6.7216739186e-01,7.4039921483e-01
-3.7751684430e-04,1.9796328951e-05,5.5385360052e+00,4.1461507024e+00,3.6721676751e+00,2.3974144395e+01,-6.6302136009e-01,7.4860047827e-01
-3.7450640205e-04,2.2426079377e-05,6.2761722856e+00,4.7548582591e+00,4.0965426270e+00,2.3981384462e+01,-6.5271353949e-01,7.5760480158e-01
-3.7145888125e-04,2.5012738650e-05,7.0038970790e+00,5.3730658230e+00,4.4927428098e+00,2.3982191107e+01,-6.4146328239e-01,7.6715373775e-01
-3.6837282710e-04,2.7553283481e-05,7.7216055235e+00,5.9988015777e+00,4.8618485674e+00,2.3976739242e+01,-6.2964218420e-01,7.7688526815e-01
-3.6524749382e-04,3.0045328787e-05,8.4422467747e+00,6.6424223069e+00,5.2105428222e+00,2.3964791049e+01,-6.1719859194e-01,7.8680740852e-01
-3.6208202370e-04,3.2486162877e-05,9.1569923976e+00,7.2978338419e+00,5.5310153667e+00,2.3948222399e+01,-6.0402096305e-01,7.9696842860e-01
-3.5887548094e-04,3.4872754154e-05,9.8694911821e+00,7.9682219406e+00,5.8235981401e+00,2.3926417593e+01,-5.9006062549e-01,8.0735894016e-01
-3.5562681140e-04,3.7201637619e-05,1.0593999108e+01,8.6664010701e+00,6.0931362696e+00,2.3897792339e+01,-5.7514978124e-01,8.1804812153e-01
-3.5233428332e-04,3.9468023381e-05,1.1332419383e+01,9.3980502848e+00,6.3324860780e+00,2.3861314756e+01,-5.5879383420e-01,8.2930660848e-01
-3.4899541076e-04,4.1665468441e-05,1.2081931014e+01,1.0163817153e+01,6.5322184521e+00,2.3818468401e+01,-5.4066013492e-01,8.4124111794e-01
-3.4560721355e-04,4.3785934938e-05,1.2855723951e+01,1.0978702889e+01,6.6886262547e+00,2.3765251721e+01,-5.2028390468e-01,8.5399335977e-01
