x_m y_m von_mises_Pa wss_mag_dyn_cm2
3.9436596934e-04 1.1239491259e-05 4.8233899092e+01 3.7679989440e-02
3.9233081254e-04 1.6328975023e-05 4.0908132381e+01 2.4326100839e-01
3.9032845146e-04 2.1246264264e-05 3.6239275953e+01 5.2171361355e-01
3.8830326518e-04 2.6026012054e-05 3.2935900930e+01 1.2778825911e+00
3.8622802353e-04 3.0686413327e-05 3.0474981728e+01 1.7397763996e+00
3.8408827158e-04 3.5239455438e-05 2.8477032335e+01 2.2484795023e+00
3.8187710854e-04 3.9690416055e-05 2.6803960128e+01 2.7960416952e+00
3.7959003979e-04 4.4045021220e-05 2.5358922080e+01 3.9853330027e+00
3.7722542735e-04 4.8306341880e-05 2.4104268674e+01 4.6159640760e+00
3.7478278694e-04 5.2476960123e-05 2.2987566949e+01 5.2670236721e+00
3.7226263553e-04 5.6558798730e-05 2.1985180571e+01 5.9319142022e+00
3.6966595934e-04 6.0553430406e-05 2.1078232954e+01 6.6070040567e+00
3.6699401965e-04 6.4462255096e-05 2.0256891843e+01 7.9784892330e+00
3.6424832224e-04 6.8286517769e-05 1.9510012888e+01 8.6634932678e+00
3.6143058014e-04 7.2027422277e-05 1.8829231389e+01 9.3490057904e+00
3.5854259690e-04 7.5685988965e-05 1.8208616814e+01 1.0029890598e+01
3.5558617976e-04 7.9263211489e-05 1.7643582391e+01 1.0705158182e+01
3.5256322659e-04 8.2760104425e-05 1.7129377630e+01 1.1372297198e+01
3.4947564176e-04 8.6177599392e-05 1.6661029135e+01 1.2678417560e+01
3.4632531988e-04 8.9516560855e-05 1.6236813616e+01 1.3313827841e+01
3.4311410893e-04 9.2777921385e-05 1.5850229472e+01 1.3935468532e+01
3.3984399075e-04 9.5962437257e-05 1.5500661155e+01 1.4545052089e+01
3.3651674809e-04 9.9071024249e-05 1.5186400877e+01 1.5137829128e+01
3.3313417042e-04 1.0210446764e-04 1.4902433849e+01 1.5717912510e+01
3.2969809492e-04 1.0506351093e-04 1.4648376902e+01 1.6284149126e+01
3.2621025375e-04 1.0794899323e-04 1.4421962556e+01 1.7364115013e+01
3.2267228807e-04 1.1076162007e-04 1.4222725213e+01 1.7881659382e+01
3.1908585207e-04 1.1350211203e-04 1.4047444322e+01 1.8386392037e+01
3.1545260970e-04 1.1617120633e-04 1.3894510230e+01 1.8877557765e+01
3.1177408398e-04 1.1876959911e-04 1.3762964784e+01 1.9352242987e+01
3.0805178238e-04 1.2129795641e-04 1.3653717256e+01 1.9814123252e+01
3.0428712760e-04 1.2375690130e-04 1.3563685148e+01 2.0260973253e+01
3.0048152626e-04 1.2614705782e-04 1.3492006588e+01 2.0697034191e+01
2.9663634947e-04 1.2846907353e-04 1.3437589809e+01 2.1524608095e+01
2.9275283878e-04 1.3072348435e-04 1.3401042581e+01 2.1924123324e+01
2.8883221591e-04 1.3291079712e-04 1.3380378558e+01 2.2311122424e+01
2.8487571980e-04 1.3503156824e-04 1.3375072984e+01 2.2687045470e+01
2.8088440145e-04 1.3708621616e-04 1.3385661267e+01 2.3053331876e+01
2.7685934169e-04 1.3907514384e-04 1.3412611706e+01 2.3410606552e+01
2.7280155467e-04 1.4099879598e-04 1.3453168384e+01 2.3762912811e+01
2.6871200275e-04 1.4285743923e-04 1.3506743274e+01 2.4106695579e+01
2.6459159272e-04 1.4465134775e-04 1.3576450242e+01 2.4769643054e+01
2.6044113076e-04 1.4638075132e-04 1.3659724882e+01 2.5093703314e+01
2.5626138912e-04 1.4804575826e-04 1.3761509351e+01 2.5412938480e+01
2.5205315653e-04 1.4964640106e-04 1.3873530321e+01 2.5727372061e+01
2.4781698958e-04 1.5118267883e-04 1.4003133433e+01 2.6037775189e+01
2.4355357837e-04 1.5265447898e-04 1.4147734311e+01 2.6347998175e+01
2.3926341517e-04 1.5406155595e-04 1.4308798741e+01 2.6649848866e+01
2.3494697728e-04 1.5540346944e-04 1.4488920801e+01 2.6957379597e+01
2.3060469073e-04 1.5667978288e-04 1.4686041563e+01 2.7575039585e+01
2.2623694970e-04 1.5788982483e-04 1.4901675719e+01 2.7885658729e+01
2.1742594923e-04 1.6010713273e-04 1.5398708372e+01 2.8525497069e+01
2.1298301543e-04 1.6111183892e-04 1.5685587307e+01 2.8857711897e+01
2.0402225918e-04 1.6290420596e-04 1.6351658222e+01 2.9554515114e+01
1.9950395505e-04 1.6368676093e-04 1.6741207702e+01 3.0331536979e+01
1.4284149070e-04 1.6436723178e-04 1.4840358803e+01 2.5273227609e+01
1.3522931247e-04 1.6379246343e-04 1.3668900890e+01 2.5491992354e+01
1.3144308110e-04 1.6350090905e-04 1.3468005281e+01 2.5636512432e+01
1.2388663461e-04 1.6288595005e-04 1.3526392516e+01 2.5802371958e+01
1.1632547701e-04 1.6219764304e-04 1.4081338795e+01 2.6193643664e+01
1.1253642305e-04 1.6181255448e-04 1.4477085808e+01 2.6400682561e+01
1.0493720108e-04 1.6093385904e-04 1.5571389312e+01 2.6821053357e+01
9.7301137465e-05 1.5987266293e-04 1.7239307183e+01 2.7238773773e+01
9.3468260995e-05 1.5925752328e-04 1.8254485300e+01 2.7438533890e+01
8.5790633812e-05 1.5781915549e-04 2.0209830362e+01 2.7788178687e+01
8.1956844728e-05 1.5697624974e-04 2.1139034697e+01 2.7922437808e+01
7.8134641280e-05 1.5603367398e-04 2.2051228553e+01 2.8000241818e+01
7.4332512179e-05 1.5497407572e-04 2.3030809625e+01 2.7990972810e+01
7.0563517648e-05 1.5377655848e-04 2.4088966467e+01 2.7886803620e+01
6.6843721643e-05 1.5241317239e-04 2.5362264111e+01 2.7634700608e+01
6.3202198567e-05 1.5084174636e-04 2.6314862046e+01 2.7157741201e+01
5.9693520437e-05 1.4899561423e-04 3.0008589492e+01 2.6403225794e+01
5.6458901834e-05 1.4672006074e-04 2.5482107734e+01 2.4268394262e+01
5.4303296064e-05 1.4388972869e-04 3.9220186024e+01 1.9171329631e+01
5.3256522538e-05 1.4220988633e-04 7.7016177885e+01 1.0150924927e+01
4.7904860134e-05 1.3942677773e-04 5.7917225159e+01 4.7225788686e+00
4.3852200007e-05 1.3811296115e-04 4.8880459152e+01 5.9786512746e+00
4.1758947270e-05 1.3754689065e-04 4.5445798691e+01 7.5482351203e+00
3.9632013890e-05 1.3702950136e-04 4.2394850713e+01 7.5482351203e+00
3.7475924417e-05 1.3655338788e-04 3.9696594454e+01 8.8173631320e+00
3.5294176266e-05 1.3611285410e-04 3.7137515935e+01 8.8173631320e+00
3.3089248538e-05 1.3570319572e-04 3.4729323694e+01 9.8036572975e+00
3.0863014127e-05 1.3532054794e-04 3.2439218865e+01 9.8036572975e+00
2.8616925866e-05 1.3496159347e-04 3.0250919638e+01 1.0651584674e+01
2.6351983007e-05 1.3462339768e-04 2.8122607835e+01 1.0651584674e+01
2.4069002724e-05 1.3430336017e-04 2.6052851460e+01 1.1402578177e+01
2.1768542790e-05 1.3399918996e-04 2.4019495816e+01 1.2069403332e+01
1.9450961916e-05 1.3370861196e-04 2.1991948801e+01 1.2069403332e+01
1.7116422692e-05 1.3342954151e-04 1.9956124416e+01 1.2675394808e+01
1.2395298130e-05 1.3289657130e-04 1.5876153227e+01 1.3219186399e+01
1.0007388016e-05 1.3263574621e-04 1.4541781709e+01 1.3675520360e+01
5.2244457691e-06 1.3214153848e-04 1.6544648861e+01 1.4012251090e+01
2.8393418474e-06 1.3192360588e-04 1.5910974835e+01 1.4012251090e+01
4.4817213529e-07 1.3171549114e-04 1.4742686594e+01 1.4359490461e+01
-1.9510443724e-06 1.3151327126e-04 1.3583285093e+01 1.4782637580e+01
-6.7749325329e-06 1.3112041047e-04 1.1211056120e+01 1.5195326562e+01
-9.1997971381e-06 1.3092781219e-04 1.0066390650e+01 1.5195326562e+01
-1.4075129423e-05 1.3054638937e-04 7.7658635317e+00 1.5904252093e+01
-1.6525438881e-05 1.3035629879e-04 6.6649400497e+00 1.5904252093e+01
-1.8984010410e-05 1.3016587770e-04 5.5854140732e+00 1.6213389626e+01
-2.1450566114e-05 1.2997460623e-04 4.5594272208e+00 1.6213389626e+01
-2.6406640556e-05 1.2958762972e-04 2.5387523549e+00 1.6760813018e+01
-2.8895930944e-05 1.2939099230e-04 1.4508041094e+00 1.6760813018e+01
-3.1392575070e-05 1.2919169777e-04 6.2776083160e-01 1.7003697785e+01
-3.3896415603e-05 1.2898936652e-04 1.0432430396e+00 1.7227413370e+01
-3.8925002480e-05 1.2857417603e-04 2.6460075324e+00 1.7433275949e+01
-4.1449408261e-05 1.2836066097e-04 3.5132927943e+00 1.7433275949e+01
-4.3980306956e-05 1.2814279348e-04 4.3601007226e+00 1.7622039157e+01
-4.6517533318e-05 1.2792028043e-04 5.2105174795e+00 1.7795659985e+01
-5.1610244989e-05 1.2746021787e-04 6.8624492457e+00 1.7953972455e+01
-5.4165371305e-05 1.2722215289e-04 7.6599556375e+00 1.8098902316e+01
-5.6726106224e-05 1.2697841229e-04 8.4456621257e+00 1.8098902316e+01
-5.9292277277e-05 1.2672876967e-04 9.2110523045e+00 1.8231577281e+01
-6.1863705774e-05 1.2647299768e-04 9.9504142671e+00 1.8350621340e+01
-6.4440184047e-05 1.2621089125e-04 1.0685077693e+01 1.8350621340e+01
-6.7021585037e-05 1.2594223853e-04 1.1409940933e+01 1.8459061838e+01
-6.9607704525e-05 1.2566685582e-04 1.2106917331e+01 1.8556118601e+01
-7.2198370768e-05 1.2538455820e-04 1.2789549288e+01 1.8556118601e+01
-7.4793410024e-05 1.2509516430e-04 1.3456386610e+01 1.8642398651e+01
-7.7392647916e-05 1.2479849910e-04 1.4110143876e+01 1.8719624927e+01
-7.9995935297e-05 1.2449439414e-04 1.4736704630e+01 1.8719624927e+01
-8.2603042306e-05 1.2418270150e-04 1.5352457611e+01 1.8786774277e+01
-8.5213853937e-05 1.2386325506e-04 1.5961297586e+01 1.8786774277e+01
-8.7828180326e-05 1.2353591363e-04 1.6549881478e+01 1.8845152722e+01
-9.0445854078e-05 1.2320052946e-04 1.7123978655e+01 1.8894971059e+01
-9.3066709929e-05 1.2285696165e-04 1.7682002333e+01 1.8894971059e+01
-9.5690579767e-05 1.2250507625e-04 1.8225273819e+01 1.8936481333e+01
-9.8317287504e-05 1.2214474859e-04 1.8760808832e+01 1.8970338742e+01
-1.0094670262e-04 1.2177584769e-04 1.9277220949e+01 1.8970338742e+01
