x_m y_m sigma_xx_Pa sigma_xy_Pa sigma_yy_Pa von_mises_Pa sigma_max_principal_Pa sigma_min_principal_Pa sigma_tension_Pa sigma_comp_mag_Pa is_surface wss_mag_dyn_cm2 wss_x_dyn_cm2 wss_y_dyn_cm2 pressure_Pa normal_x normal_y
3.8622802353e-04 3.0686413327e-05 -7.0007509229e+00 -1.1121520977e+01 2.0318466054e+01 3.0474981728e+01 2.4253596470e+01 -1.0935881339e+01 2.4253596470e+01 1.0935580648e+01 1.0000000000e+00 1.7397763996e+00 7.2572446342e-01 -1.5811849745e+00 1.3744314387e+01 9.0884378873e-01 4.1713662951e-01
3.7478278694e-04 5.2476960123e-05 -7.0172580013e+00 -9.9821307091e+00 1.0491683462e+01 2.2987566949e+01 1.5009090696e+01 -1.1534665236e+01 1.5009090696e+01 1.1534665198e+01 1.0000000000e+00 5.2670236721e+00 2.7100016362e+00 -4.5163513475e+00 1.3589817634e+01 8.5747694119e-01 5.1452239537e-01
3.7226263553e-04 5.6558798730e-05 -6.9376158938e+00 -9.8414764043e+00 9.1095024194e+00 2.1985180571e+01 1.3779093184e+01 -1.1607206658e+01 1.3779093184e+01 1.1607206658e+01 1.0000000000e+00 5.9319142022e+00 3.1504065967e+00 -5.0261858678e+00 1.3580235336e+01 8.4731263745e-01 5.3109443079e-01
3.6699401965e-04 6.4462255096e-05 -6.7343601345e+00 -9.5849419048e+00 6.6805676889e+00 2.0256891843e+01 1.1668425735e+01 -1.1722218181e+01 1.1668425735e+01 1.1722218181e+01 1.0000000000e+00 7.9784892330e+00 4.6264231916e+00 -6.5001922197e+00 1.3579276332e+01 8.1471466965e-01 5.7986205865e-01
3.6143058014e-04 7.2027422277e-05 -6.4891441707e+00 -9.3507917266e+00 4.6116110858e+00 1.8829231389e+01 9.9322952685e+00 -1.1809828353e+01 9.9322952685e+00 1.1809828353e+01 1.0000000000e+00 9.3490057904e+00 5.7138773758e+00 -7.3996969265e+00 1.3602514680e+01 7.9149559775e-01 6.1117486756e-01
3.5558617976e-04 7.9263211489e-05 -6.2127032259e+00 -9.1322569247e+00 2.8245073872e+00 1.7643582391e+01 8.4924291236e+00 -1.1880624962e+01 8.4924291236e+00 1.1880624962e+01 1.0000000000e+00 1.0705158182e+01 6.8652480798e+00 -8.2139381853e+00 1.3641297149e+01 7.6728788547e-01 6.4130281523e-01
3.5256322659e-04 8.2760104425e-05 -6.0648439944e+00 -9.0281628907e+00 2.0205833642e+00 1.7129377630e+01 7.8675204708e+00 -1.1911781101e+01 7.8675204708e+00 1.1911781101e+01 1.0000000000e+00 1.1372297198e+01 7.4587035358e+00 -8.5846889939e+00 1.3666459440e+01 7.5487729915e-01 6.5586604061e-01
3.4947564176e-04 8.6177599392e-05 -5.9114293328e+00 -8.9268686632e+00 1.2664015658e+00 1.6661029135e+01 7.2967357723e+00 -1.1941763539e+01 7.2967357723e+00 1.1941763539e+01 1.0000000000e+00 1.2678417560e+01 8.6712612455e+00 -9.2494053998e+00 1.3729226212e+01 7.2953942049e-01 6.8393876477e-01
3.4632531988e-04 8.9516560855e-05 -5.7529663059e+00 -8.8295831201e+00 5.6017822843e-01 1.6236813616e+01 6.7779346734e+00 -1.1970722751e+01 6.7779346734e+00 1.1970722751e+01 1.0000000000e+00 1.3313827841e+01 9.2855318564e+00 -9.5413264239e+00 1.3764042521e+01 7.1664787450e-01 6.9743517546e-01
3.4311410893e-04 9.2777921385e-05 -5.5910106867e+00 -8.7322720595e+00 -1.0393603419e-01 1.5850229472e+01 6.3036608918e+00 -1.1998607613e+01 6.3036608918e+00 1.1998607613e+01 1.0000000000e+00 1.3935468532e+01 9.9020032399e+00 -9.8054890268e+00 1.3803109729e+01 7.0363540372e-01 7.1056119978e-01
3.3984399075e-04 9.5962437257e-05 -5.4240507522e+00 -8.6381693675e+00 -7.3160346666e-01 1.5500661155e+01 5.8714837809e+00 -1.2027138000e+01 5.8714837809e+00 1.2027138000e+01 1.0000000000e+00 1.4545052089e+01 1.0520568143e+01 -1.0043713766e+01 1.3847027795e+01 6.9052442745e-01 7.2330907300e-01
3.3651674809e-04 9.9071024249e-05 -5.2528928970e+00 -8.5466326379e+00 -1.3211524769e+00 1.5186400877e+01 5.4808499475e+00 -1.2054895321e+01 5.4808499475e+00 1.2054895321e+01 1.0000000000e+00 1.5137829128e+01 1.1136652147e+01 -1.0253236058e+01 1.3890299110e+01 6.7732539267e-01 7.3568356815e-01
