x_m,y_m,wss_mag_dyn_cm2,wss_x_dyn_cm2,wss_y_dyn_cm2,pressure_Pa,normal_x,normal_y
-3.9839193430e-04,1.1881243995e-06,5.1280053758e-01,4.1243661658e-01,3.0473009147e-01,2.3647108324e+01,-5.9424682530e-01,8.0428273053e-01
-3.9222027154e-04,6.2680453573e-06,1.8237040573e+00,1.3561566647e+00,1.2193176738e+00,2.3809643122e+01,-6.6859404568e-01,7.4362759637e-01
-3.8927548971e-04,8.9738532528e-06,2.5136085261e+00,1.8324038761e+00,1.7206172897e+00,2.3868762603e+01,-6.8452078825e-01,7.2899334047e-01
-3.8636534578e-04,1.1717320328e-05,3.2598498213e+00,2.3675578704e+00,2.2408236405e+00,2.3914650490e+01,-6.8740088143e-01,7.2627820304e-01
-3.8344945313e-04,1.4454647322e-05,4.0217574257e+00,2.9433879500e+00,2.7406203981e+00,2.3947309032e+01,-6.8144845848e-01,7.3186610690e-01
-3.8050768861e-04,1.7164100048e-05,4.7734504873e+00,3.5286262376e+00,3.2147513793e+00,2.3969935323e+01,-6.7346490507e-01,7.3921919729e-01
-3.7753480820e-04,1.9839342441e-05,5.5173759989e+00,4.1238420536e+00,3.6654283010e+00,2.3984898394e+01,-6.6434266973e-01,7.4742813512e-01
-3.7452748604e-04,2.2475771614e-05,6.2552403661e+00,4.7317437668e+00,4.0912874455e+00,2.3992422996e+01,-6.5405759110e-01,7.5644475511e-01
-3.6840001388e-04,2.7616652309e-05,7.7049058410e+00,5.9769122573e+00,4.8623136352e+00,2.3988067078e+01,-6.3106723633e-01,7.7572813745e-01
-3.6527772952e-04,3.0115800497e-05,8.4204224996e+00,6.6154052998e+00,5.2095995806e+00,2.3977228212e+01,-6.1868624536e-01,7.8563816722e-01
-3.6211536130e-04,3.2564005478e-05,9.1358490594e+00,7.2700751868e+00,5.5326074155e+00,2.3960283065e+01,-6.0559312874e-01,7.9577444193e-01
-3.5891204165e-04,3.4958351787e-05,9.8482096277e+00,7.9388234231e+00,5.8277195821e+00,2.3939252405e+01,-5.9175421751e-01,8.0611844418e-01
