x_m,y_m,von_mises_Pa,wss_mag_dyn_cm2
3.8620077927e-04,3.0699250817e-05,3.0564059573e+01,1.7243006100e+00
3.7474803025e-04,5.2503428334e-05,2.3084683216e+01,5.2187847581e+00
3.7222647403e-04,5.6588433365e-05,2.2084174841e+01,5.8774817342e+00
3.6695483646e-04,6.4498417005e-05,2.0358532647e+01,7.9112857159e+00
3.6138801044e-04,7.2070252080e-05,1.8933101846e+01,9.2753973258e+00
3.5553980170e-04,7.9312727846e-05,1.7748997934e+01,1.0626792527e+01
3.5251478458e-04,8.2812923277e-05,1.7235057685e+01,1.1948233352e+01
3.4942504898e-04,8.6233677999e-05,1.6766826644e+01,1.2594035318e+01
3.4627249411e-04,8.9575853515e-05,1.6342178140e+01,1.3226237926e+01
3.4305896613e-04,9.2840350468e-05,1.5955290366e+01,1.3845859777e+01
3.3978647526e-04,9.6027951533e-05,1.5605344138e+01,1.4455341998e+01
3.3645681220e-04,9.9139573494e-05,1.5290338673e+01,1.5045644773e+01
3.3307176580e-04,1.0217598815e-04,1.5005891131e+01,1.5617135430e+01
3.2963318254e-04,1.0513795332e-04,1.4751041802e+01,1.6738205899e+01
3.2260232314e-04,1.1084172806e-04,1.4323156043e+01,1.7782701367e+01
3.1169664745e-04,1.1885802342e-04,1.3859633733e+01,1.9242715777e+01
3.0420490345e-04,1.2385084572e-04,1.3656885029e+01,2.0578831913e+01
3.0039699187e-04,1.2624379795e-04,1.3583541883e+01,2.0996174637e+01
2.9266394382e-04,1.3082598750e-04,1.3488188062e+01,2.1802570511e+01
2.7676317085e-04,1.3919041652e-04,1.3487517640e+01,2.3272622480e+01
2.6449191129e-04,1.4477820485e-04,1.3638552990e+01,2.4601033521e+01
2.5195236435e-04,1.4978791642e-04,1.3916798042e+01,2.5529297627e+01
2.3485055358e-04,1.5557289051e-04,1.4488757048e+01,2.6997394670e+01
7.6443898412e-05,1.5456566953e-04,2.3782657646e+01,2.7718901099e+01
6.5379000764e-05,1.5006339525e-04,2.8532173988e+01,2.6454395243e+01
5.4796986401e-05,1.4077218149e-04,6.8714186186e+01,5.9622993966e+00
4.8893943903e-05,1.3854705234e-04,5.0600521562e+01,5.2480035827e+00
2.9230276582e-05,1.3458672332e-04,2.7688740753e+01,1.1077536986e+01
1.0464574670e-05,1.3241173421e-04,1.5747917674e+01,1.3821154702e+01
8.0771219465e-06,1.3218473128e-04,1.6590428470e+01,1.4130983754e+01
-6.3541746206e-06,1.3101199203e-04,1.0097015345e+01,1.5334471482e+01
-8.7882614052e-06,1.3082755029e-04,8.9833958285e+00,1.5687548480e+01
-2.3563459081e-05,1.2971947484e-04,2.6003339378e+00,1.6838635713e+01
-2.6052752918e-05,1.2952988480e-04,1.5030523066e+00,1.6838635713e+01
-4.1136350399e-05,1.2832546690e-04,4.1576578917e+00,1.7676365627e+01
-4.3673367159e-05,1.2811051233e-04,4.9980755745e+00,1.7845934385e+01
-5.9018354648e-05,1.2671023674e-04,9.7567150780e+00,1.8391002142e+01
-6.1594713858e-05,1.2645623820e-04,1.0480975125e+01,1.8391002142e+01
-7.4546884414e-05,1.2508559028e-04,1.3909804645e+01,1.8679347234e+01
-7.7150205219e-05,1.2479007525e-04,1.4549004243e+01,1.8755377369e+01
-9.0221963524e-05,1.2319676567e-04,1.7496835727e+01,1.8929244641e+01
-9.5473301623e-05,1.2250275947e-04,1.8574085909e+01,1.9004753218e+01
-1.0864682236e-04,1.2061705792e-04,2.1043787636e+01,1.9063919776e+01
-1.1128799899e-04,1.2021314858e-04,2.1501196924e+01,1.9070365278e+01
-1.2451760377e-04,1.1805388344e-04,2.3606492338e+01,1.9052520523e+01
-1.2716719576e-04,1.1759338628e-04,2.3995138311e+01,1.9034976242e+01
-1.4042514020e-04,1.1514253651e-04,2.5785968690e+01,1.8950489978e+01
-1.4573019092e-04,1.1409131504e-04,2.6438203530e+01,1.8868907320e+01
-1.5633700720e-04,1.1186362466e-04,2.7639797005e+01,1.8766954816e+01
-1.6163641276e-04,1.1068587389e-04,2.8194266248e+01,1.8646385983e+01
-1.7222140312e-04,1.0819944779e-04,2.9219634554e+01,1.8506192881e+01
-1.7750463519e-04,1.0688956793e-04,2.9693380291e+01,1.8347245193e+01
-1.8278017112e-04,1.0553445951e-04,3.0148025040e+01,1.8260375255e+01
-1.8541468869e-04,1.0483975884e-04,3.0369625809e+01,1.8168533268e+01
-1.9330362316e-04,1.0268626301e-04,3.0996237878e+01,1.7969362786e+01
-1.9854915355e-04,1.0119217434e-04,3.1381323065e+01,1.7861539442e+01
-2.0116734521e-04,1.0042741371e-04,3.1568784753e+01,1.7748697855e+01
-2.0639377452e-04,9.8862231420e-05,3.1925959979e+01,1.7629896417e+01
-2.1420623131e-04,9.6424517252e-05,3.2416947044e+01,1.7374561866e+01
-2.1680246349e-04,9.5587828590e-05,3.2568572355e+01,1.7237506302e+01
-2.2198207825e-04,9.3878078246e-05,3.2845429831e+01,1.7093683647e+01
-2.2971635797e-04,9.1222537122e-05,3.3168594028e+01,1.6786243346e+01
-2.3740235621e-04,8.8458431930e-05,3.3229336352e+01,1.6453725062e+01
-2.4249198747e-04,8.6556006871e-05,3.2969638709e+01,1.6088625612e+01
-2.4502254651e-04,8.5586795905e-05,3.3014697982e+01,1.6088625612e+01
