x_m,y_m,sigma_xx_Pa,sigma_xy_Pa,sigma_yy_Pa,von_mises_Pa,sigma_max_principal_Pa,sigma_min_principal_Pa,sigma_tension_Pa,sigma_comp_mag_Pa
4.0000000000e-04,0.0000000000e+00,7.3244965193e+01,-6.7267297359e+01,8.9856173827e+01,1.1612467168e+02,1.4859517996e+02,1.4505959056e+01,1.4859517996e+02,-1.0576991292e+00
-4.0000000000e-04,3.0616169979e-20,5.1160167955e+02,3.1753155028e+02,2.2907682738e+02,5.9914271760e+02,7.1625446275e+02,2.4424044178e+01,7.1625446274e+02,-1.6197121569e+00
3.9657922653e-04,5.9209482093e-06,-4.3175937146e+00,-2.6378482603e+01,6.1394803640e+01,6.9839101369e+01,6.8860228938e+01,-1.1783019013e+01,6.8860228938e+01,1.0025243056e+01
3.9432043646e-04,1.1254007762e-05,-3.7068749140e+00,-1.7124288674e+01,4.0638237995e+01,4.8666597771e+01,4.6563354864e+01,-9.6319917829e+00,4.6563354864e+01,9.7638571804e+00
3.9227122709e-04,1.6349783460e-05,-5.6319511819e+00,-1.4083320790e+01,3.2961503447e+01,4.1259706608e+01,3.7486078849e+01,-1.0156526584e+01,3.7486078849e+01,1.0179210998e+01
3.9025746648e-04,2.1272968936e-05,-6.3722364900e+00,-1.2607511757e+01,2.7550803077e+01,3.6546503985e+01,3.1689417207e+01,-1.0510850621e+01,3.1689417207e+01,1.0500857366e+01
3.8822276290e-04,2.6058566179e-05,-6.7206822542e+00,-1.1763627720e+01,2.3620752677e+01,3.3219738610e+01,2.7629460240e+01,-1.0729389818e+01,2.7629460240e+01,1.0731729486e+01
3.8613936235e-04,3.0724975554e-05,-6.9101397356e+00,-1.1262497517e+01,2.0585221461e+01,3.0747744366e+01,2.4589759349e+01,-1.0914677624e+01,2.4589759349e+01,1.0914373433e+01
3.8399241711e-04,3.5284303872e-05,-7.0095056042e+00,-1.0905890691e+01,1.8048133640e+01,2.8745110196e+01,2.2115311127e+01,-1.1076683092e+01,2.2115311127e+01,1.1076705060e+01
3.8177472449e-04,3.9741865499e-05,-7.0356764851e+00,-1.0650565195e+01,1.5865448049e+01,2.7071194710e+01,2.0044447335e+01,-1.1214675771e+01,2.0044447335e+01,1.1214678583e+01
3.7948153863e-04,4.4103396871e-05,-7.0170025680e+00,-1.0447739196e+01,1.3955135348e+01,2.5627851098e+01,1.8265313120e+01,-1.1327180340e+01,1.8265313120e+01,1.1327178649e+01
3.7711102876e-04,4.8371942174e-05,-6.9711262300e+00,-1.0280755445e+01,1.2267922876e+01,2.4376317295e+01,1.6722071675e+01,-1.1425275029e+01,1.6722071675e+01,1.1425275376e+01
3.7466256619e-04,5.2550033609e-05,-6.9025525388e+00,-1.0132067371e+01,1.0746423252e+01,2.3263029619e+01,1.5352851769e+01,-1.1508981056e+01,1.5352851769e+01,1.1508981017e+01
3.7213655966e-04,5.6639531523e-05,-6.8150351280e+00,-9.9959619025e+00,9.3618265285e+00,2.2263815645e+01,1.4127415656e+01,-1.1580624256e+01,1.4127415656e+01,1.1580624256e+01
3.6953392585e-04,6.0641942893e-05,-6.7113894493e+00,-9.8689132470e+00,8.0920361084e+00,2.1359501263e+01,1.3022237134e+01,-1.1641590475e+01,1.3022237134e+01,1.1641590476e+01
3.6685587766e-04,6.4558611136e-05,-6.5950761391e+00,-9.7477008371e+00,6.9251163474e+00,2.0540373893e+01,1.2024010500e+01,-1.1693970292e+01,1.2024010500e+01,1.1693970292e+01
3.6410388623e-04,6.8390739126e-05,-6.4674176982e+00,-9.6328106833e+00,5.8460615759e+00,1.9795521127e+01,1.1118271390e+01,-1.1739627512e+01,1.1118271390e+01,1.1739627512e+01
3.6127964057e-04,7.2139492389e-05,-6.3321722073e+00,-9.5203126095e+00,4.8465316646e+00,1.9116444995e+01,1.0294064392e+01,-1.1779704935e+01,1.0294064392e+01,1.1779704935e+01
3.5838492616e-04,7.5805848508e-05,-6.1886494474e+00,-9.4115129193e+00,3.9156810795e+00,1.8497066045e+01,9.5428018762e+00,-1.1815770244e+01,9.5428018762e+00,1.1815770244e+01
3.5542153840e-04,7.9390749918e-05,-6.0387206436e+00,-9.3061018797e+00,3.0478282958e+00,1.7932687989e+01,8.8579960641e+00,-1.1848888412e+01,8.8579960641e+00,1.1848888412e+01
3.5239139699e-04,8.2895170309e-05,-5.8834814825e+00,-9.2030114418e+00,2.2367714638e+00,1.7418390714e+01,8.2331575584e+00,-1.1879867577e+01,8.2331575584e+00,1.1879867577e+01
3.4929643940e-04,8.6320027982e-05,-5.7225468290e+00,-9.1020737792e+00,1.4754050759e+00,1.6949375249e+01,7.6621554862e+00,-1.1909297239e+01,7.6621554862e+00,1.1909297239e+01
3.4613856315e-04,8.9666173123e-05,-5.5565773497e+00,-9.0047520722e+00,7.6183305827e-01,1.6524335594e+01,7.1429574578e+00,-1.1937701749e+01,7.1429574578e+00,1.1937701749e+01
3.4291962679e-04,9.2934524203e-05,-5.3875302933e+00,-8.9070503136e+00,9.0238075196e-02,1.6136922159e+01,6.6680102432e+00,-1.1965302461e+01,6.6680102432e+00,1.1965302461e+01
3.3964163038e-04,9.6125842416e-05,-5.2138020163e+00,-8.8120537957e+00,-5.4472898198e-01,1.5786294135e+01,6.2349556694e+00,-1.1993486668e+01,6.2349556694e+00,1.1993486668e+01
3.3630637579e-04,9.9241029789e-05,-5.0365129928e+00,-8.7191665295e+00,-1.1419325096e+00,1.5470715521e+01,5.8427990194e+00,-1.2021244522e+01,5.8427990194e+00,1.2021244522e+01
3.3291568245e-04,1.0228088101e-04,-4.8566814645e+00,-8.6264633239e+00,-1.7076573914e+00,1.5185426762e+01,5.4851408008e+00,-1.2049479657e+01,5.4851408008e+00,1.2049479657e+01
3.2947140508e-04,1.0524615257e-04,-4.6734912290e+00,-8.5349160338e+00,-2.2442265528e+00,1.4929589436e+01,5.1607435887e+00,-1.2078461370e+01,5.1607435887e+00,1.2078461370e+01
3.2597528577e-04,1.0813765611e-04,-4.4871353953e+00,-8.4444118281e+00,-2.7533204127e+00,1.4701212318e+01,4.8675209853e+00,-1.2107976793e+01,4.8675209853e+00,1.2107976793e+01
3.2242904120e-04,1.1095614109e-04,-4.2980341820e+00,-8.3556161467e+00,-3.2364351705e+00,1.4499568810e+01,4.6040952791e+00,-1.2138564632e+01,4.6040952791e+00,1.2138564632e+01
3.1883433823e-04,1.1370237051e-04,-4.1058296238e+00,-8.2671385250e+00,-3.6954018955e+00,1.4321783406e+01,4.3680697451e+00,-1.2169301264e+01,4.3680697451e+00,1.2169301264e+01
3.1519280849e-04,1.1637704735e-04,-3.9114877939e+00,-8.1791327784e+00,-4.1336531135e+00,1.4166421057e+01,4.1564165570e+00,-1.2201557464e+01,4.1564165570e+00,1.2201557464e+01
3.1150603790e-04,1.1898087597e-04,-3.7153610243e+00,-8.0910548665e+00,-4.5526715491e+00,1.4031566303e+01,3.9671122953e+00,-1.2235144869e+01,3.9671122953e+00,1.2235144869e+01
3.0777557606e-04,1.2151458429e-04,-3.5147568831e+00,-8.0049497134e+00,-4.9509318116e+00,1.3919404883e+01,3.8035278088e+00,-1.2269216504e+01,3.8035278088e+00,1.2269216504e+01
3.0400286784e-04,1.2397885812e-04,-3.3119552316e+00,-7.9190137742e+00,-5.3311969601e+00,1.3825964403e+01,3.6608481742e+00,-1.2304000366e+01,3.6608481742e+00,1.2304000366e+01
3.0018931010e-04,1.2637429698e-04,-3.1056988888e+00,-7.8332640718e+00,-5.6966150747e+00,1.3750743069e+01,3.5378382305e+00,-1.2340152194e+01,3.5378382305e+00,1.2340152194e+01
2.9633630964e-04,1.2870156560e-04,-2.8975598640e+00,-7.7477472844e+00,-6.0464723656e+00,1.3692627459e+01,3.4334260344e+00,-1.2377458264e+01,3.4334260344e+00,1.2377458264e+01
2.9244520596e-04,1.3096130210e-04,-2.6849671179e+00,-7.6622778439e+00,-6.3810897107e+00,1.3650878494e+01,3.3483099586e+00,-1.2414366787e+01,3.3483099586e+00,1.2414366787e+01
2.8851723159e-04,1.3315404117e-04,-2.4694307093e+00,-7.5766132786e+00,-6.7033507721e+00,1.3624604204e+01,3.2797781641e+00,-1.2452559645e+01,3.2797781641e+00,1.2452559645e+01
2.8455361835e-04,1.3528033815e-04,-2.2497063085e+00,-7.4911230009e+00,-7.0124957213e+00,1.3613804808e+01,3.2288328556e+00,-1.2491034885e+01,3.2288328556e+00,1.2491034885e+01
2.8055549846e-04,1.3734069879e-04,-2.0263417772e+00,-7.4057480003e+00,-7.3097306000e+00,1.3617733441e+01,3.1941658790e+00,-1.2530238256e+01,3.1941658790e+00,1.2530238256e+01
2.7652399746e-04,1.3933559841e-04,-1.7982969672e+00,-7.3206560914e+00,-7.5961847634e+00,1.3636779476e+01,3.1759574360e+00,-1.2570439167e+01,3.1759574359e+00,1.2570439167e+01
2.7246017353e-04,1.4126552093e-04,-1.5662492813e+00,-7.2352064957e+00,-7.8718468921e+00,1.3668847783e+01,3.1726648605e+00,-1.2610761034e+01,3.1726648602e+00,1.2610761034e+01
2.6836505046e-04,1.4313084226e-04,-1.3277369321e+00,-7.1479388309e+00,-8.1377323682e+00,1.3712607109e+01,3.1842427556e+00,-1.2649712056e+01,3.1842427546e+00,1.2649712056e+01
2.6423954000e-04,1.4493186335e-04,-1.0838460613e+00,-7.0617704438e+00,-8.3950668664e+00,1.3772175301e+01,3.2119126533e+00,-1.2690825581e+01,3.2119126538e+00,1.2690825581e+01
2.6008456406e-04,1.4666895385e-04,-8.3667150994e-01,-6.9753421066e+00,-8.6436006040e+00,1.3843491730e+01,3.2524076201e+00,-1.2732679734e+01,3.2524076244e+00,1.2732679734e+01
2.5590099379e-04,1.4834239601e-04,-5.7777112364e-01,-6.8887209524e+00,-8.8820847213e+00,1.3930349573e+01,3.3127631532e+00,-1.2772618998e+01,3.3127631484e+00,1.2772618998e+01
2.5168964579e-04,1.4995229360e-04,-3.1336773318e-01,-6.7989968833e+00,-9.1153218402e+00,1.4027120017e+01,3.3842167313e+00,-1.2812906305e+01,3.3842167272e+00,1.2812906305e+01
