x_m y_m sigma_xx_Pa sigma_xy_Pa sigma_yy_Pa von_mises_Pa sigma_max_principal_Pa sigma_min_principal_Pa sigma_tension_Pa sigma_comp_mag_Pa
4.0000000000e-04 0.0000000000e+00 7.3663653019e+01 -6.7575401692e+01 9.0102665608e+01 1.1662960296e+02 1.4921929198e+02 1.4547026647e+01 1.4921929198e+02 -1.0603212204e+00
-4.0000000000e-04 3.0616169979e-20 5.1063958606e+02 3.1707947674e+02 2.2888600215e+02 5.9814711303e+02 7.1510319091e+02 2.4422397397e+01 7.1510319090e+02 -1.6193096091e+00
3.9656887942e-04 5.9238031845e-06 -4.2156369076e+00 -2.6554320403e+01 6.1622651318e+01 7.0108431095e+01 6.9180628770e+01 -1.1773614360e+01 6.9180628770e+01 1.0010892979e+01
3.9430304309e-04 1.1259677098e-05 -3.6426174744e+00 -1.7227557575e+01 4.0792861410e+01 4.8838252525e+01 4.6771900210e+01 -9.6216562742e+00 4.6771900210e+01 9.7539192357e+00
3.9224810973e-04 1.6357885736e-05 -5.5822976590e+00 -1.4164703713e+01 3.3092797548e+01 4.1399821285e+01 3.7657447908e+01 -1.0146948019e+01 3.7657447908e+01 1.0169701476e+01
3.9022943355e-04 2.1283241308e-05 -6.3295641290e+00 -1.2676362205e+01 2.7666190792e+01 3.6668122126e+01 3.1838663511e+01 -1.0502036849e+01 3.1838663511e+01 1.0492014275e+01
3.8819037276e-04 2.6070850182e-05 -6.6813258289e+00 -1.1825269598e+01 2.3725966595e+01 3.3330255003e+01 2.7765552081e+01 -1.0720911315e+01 2.7765552081e+01 1.0723258874e+01
3.8610301836e-04 3.0739178287e-05 -6.8721866742e+00 -1.1320019057e+01 2.0683741298e+01 3.0851493985e+01 2.4717895669e+01 -1.0906341045e+01 2.4717895669e+01 1.0906035721e+01
3.8395241215e-04 3.5300375979e-05 -6.9718743906e+00 -1.0961005817e+01 1.8141839487e+01 2.8844466698e+01 2.2238343161e+01 -1.1068378065e+01 2.2238343161e+01 1.1068400197e+01
3.8173127074e-04 3.9759777293e-05 -6.9975921322e+00 -1.0704396529e+01 1.5955499285e+01 2.7167694692e+01 2.0164229420e+01 -1.1206322267e+01 2.0164229420e+01 1.1206325068e+01
3.7943478352e-04 4.4123131563e-05 -6.9779534053e+00 -1.0501002671e+01 1.4042268896e+01 2.5722506306e+01 1.8383053686e+01 -1.1318738194e+01 1.8383053686e+01 1.1318736498e+01
3.7706107094e-04 4.8393484557e-05 -6.9308046092e+00 -1.0333912820e+01 1.2352496978e+01 2.4469772090e+01 1.6838475688e+01 -1.1416783319e+01 1.6838475688e+01 1.1416783667e+01
3.7460947099e-04 5.2573364636e-05 -6.8606867536e+00 -1.0185391088e+01 1.0828646219e+01 2.3355674832e+01 1.5468384884e+01 -1.1500425419e+01 1.5468384884e+01 1.1500425380e+01
3.7208036497e-04 5.6664631773e-05 -6.7712857336e+00 -1.0049627956e+01 9.4419634216e+00 2.2355940230e+01 1.4242546954e+01 -1.1571869266e+01 1.4242546954e+01 1.1571869265e+01
3.6947464369e-04 6.0668784459e-05 -6.6656459428e+00 -9.9230030573e+00 8.1700941763e+00 2.1451282151e+01 1.3137127641e+01 -1.1632679408e+01 1.3137127641e+01 1.1632679409e+01
3.6679350394e-04 6.4587157154e-05 -6.5473256050e+00 -9.8022048774e+00 7.0010758542e+00 2.0631910057e+01 1.2138713950e+01 -1.1684963701e+01 1.2138713950e+01 1.1684963701e+01
3.6403840785e-04 6.8420945888e-05 -6.4176019471e+00 -9.6876415809e+00 5.9199912389e+00 1.9886824613e+01 1.1232858190e+01 -1.1730468898e+01 1.1232858190e+01 1.1730468898e+01
3.6121103618e-04 7.2171303576e-05 -6.2802913796e+00 -9.5752954311e+00 4.9181260688e+00 1.9207249022e+01 1.0408227738e+01 -1.1770393049e+01 1.0408227738e+01 1.1770393049e+01
3.5831317072e-04 7.5839191510e-05 -6.1349650367e+00 -9.4666134197e+00 3.9845630196e+00 1.8587411882e+01 9.6562462451e+00 -1.1806648262e+01 9.6562462451e+00 1.1806648262e+01
3.5534661787e-04 7.9425564163e-05 -5.9827609503e+00 -9.3612557609e+00 3.1145346289e+00 1.8022651508e+01 8.9712695390e+00 -1.1839495860e+01 8.9712695390e+00 1.1839495860e+01
3.5231328137e-04 8.2931393055e-05 -5.8249443439e+00 -9.2582135944e+00 2.3013251879e+00 1.7508010129e+01 8.3464447827e+00 -1.1870063939e+01 8.3464447827e+00 1.1870063939e+01
3.4921508585e-04 8.6357582347e-05 -5.6618993606e+00 -9.1574246365e+00 1.5377102796e+00 1.7039095531e+01 7.7754318512e+00 -1.1899620932e+01 7.7754318512e+00 1.1899620932e+01
3.4605394155e-04 8.9704996959e-05 -5.4934942093e+00 -9.0599348454e+00 8.2237107835e-01 1.6613833506e+01 7.2564396813e+00 -1.1927562812e+01 7.2564396813e+00 1.1927562812e+01
3.4283169115e-04 9.2974527749e-05 -5.3224630170e+00 -8.9620784491e+00 1.4831503158e-01 1.6226282548e+01 6.7811746041e+00 -1.1955322589e+01 6.7811746041e+00 1.1955322589e+01
