x_m y_m sigma_comp_mag_Pa
3.8395241215e-04 3.5300375979e-05 1.1068400197e+01
3.7460947099e-04 5.2573364636e-05 1.1500425380e+01
3.7208036497e-04 5.6664631773e-05 1.1571869265e+01
3.6679350394e-04 6.4587157154e-05 1.1684963701e+01
3.6121103618e-04 7.2171303576e-05 1.1770393049e+01
3.5534661787e-04 7.9425564163e-05 1.1839495860e+01
3.5231328137e-04 8.2931393055e-05 1.1870063939e+01
3.4921508585e-04 8.6357582347e-05 1.1899620932e+01
3.4605394155e-04 8.9704996959e-05 1.1927562812e+01
3.4283169115e-04 9.2974527749e-05 1.1955322589e+01
3.3955035249e-04 9.6166941816e-05 1.1983821757e+01
3.3621174769e-04 9.9283154883e-05 1.2011147383e+01
3.3281767652e-04 1.0232394596e-04 1.2039216993e+01
3.2936998987e-04 1.0529007910e-04 1.2068084227e+01
3.2232070544e-04 1.1100152659e-04 1.2128485591e+01
3.1138727332e-04 1.1902788967e-04 1.2224669191e+01
3.0006005403e-04 1.2642229868e-04 1.2329993184e+01
2.8837750595e-04 1.3320242308e-04 1.2442812002e+01
2.7637400047e-04 1.3938388246e-04 1.2560464787e+01
2.6407965482e-04 1.4497969219e-04 1.2681736248e+01
2.4727921144e-04 1.5154601961e-04 1.2845904332e+01
2.3005866709e-04 1.5709912959e-04 1.3005715738e+01
8.7343437736e-05 1.5593237700e-04 1.7857415277e+01
7.2782908205e-05 1.4956318952e-04 1.8569481957e+01
5.9194375209e-05 1.3935763932e-04 8.5444109879e+01
3.9614334665e-05 1.3510079106e-04 6.5611517302e+01
2.0990963958e-05 1.3289185326e-04 4.9687653400e+01
1.8597742899e-05 1.3265201283e-04 5.0777563642e+01
1.8105061141e-06 1.3131529801e-04 4.4896591687e+01
-6.1724768314e-07 1.3114343832e-04 4.3601094618e+01
-1.5352225268e-05 1.3012321823e-04 3.6232883874e+01
-1.7834711508e-05 1.2995019480e-04 3.5056476627e+01
-3.2878156875e-05 1.2885510675e-04 3.1985086544e+01
-3.5408807514e-05 1.2865990735e-04 3.1998458172e+01
-5.0718712570e-05 1.2738641402e-04 3.2124236508e+01
-5.3289838431e-05 1.2715483988e-04 3.2147853664e+01
-6.8818430111e-05 1.2563029008e-04 3.2323744053e+01
-7.1421961317e-05 1.2535198501e-04 3.2357176284e+01
-8.4495945222e-05 1.2384697977e-04 3.2540614971e+01
-8.7120877273e-05 1.2352228441e-04 3.2580667730e+01
-1.0292803475e-04 1.2139735857e-04 3.2843879849e+01
-1.0557071216e-04 1.2101265277e-04 3.2890876118e+01
-1.1880966080e-04 1.1895179447e-04 3.3143287119e+01
-1.2146151686e-04 1.1851145840e-04 3.3197173827e+01
-1.3473295175e-04 1.1616387700e-04 3.3483262724e+01
-1.4004443785e-04 1.1515513117e-04 3.3603683415e+01
-1.5066597649e-04 1.1301444741e-04 3.3860937341e+01
-1.5597375227e-04 1.1188124802e-04 3.3995460967e+01
-1.6657744660e-04 1.0948605914e-04 3.4279102370e+01
-1.7187109371e-04 1.0822289061e-04 3.4427388769e+01
-1.7715771818e-04 1.0691524158e-04 3.4580834198e+01
-1.8243621464e-04 1.0556254690e-04 3.4739249766e+01
-1.8770547751e-04 1.0416423044e-04 3.4900864939e+01
-1.9296436380e-04 1.0271983077e-04 3.5064059300e+01
-1.9821159608e-04 1.0122888038e-04 3.5230917653e+01
-2.0344599966e-04 9.9690933965e-05 3.5400028662e+01
-2.1127077485e-04 9.7295097495e-05 3.5653723134e+01
-2.1905954942e-04 9.4791709829e-05 3.5900361175e+01
-2.2680745661e-04 9.2180359568e-05 3.6124295786e+01
-2.3450844238e-04 8.9461511252e-05 3.6281248546e+01
-2.3961053280e-04 8.7589945766e-05 3.6330885235e+01
-2.4214836302e-04 8.6636449364e-05 3.6513418009e+01
-2.4719223137e-04 8.4694156131e-05 3.7501235190e+01
-2.4970392995e-04 8.3705265934e-05 3.7919910098e+01
-2.5472007158e-04 8.1688591038e-05 3.8303569372e+01
-2.6222012595e-04 7.8571389467e-05 3.8585980650e+01
-2.6471094497e-04 7.7509507223e-05 3.8691669319e+01
-2.6719681819e-04 7.6436946047e-05 3.8801043810e+01
-2.6967764992e-04 7.5354260873e-05 3.8912896348e+01
-2.7462448140e-04 7.3160999615e-05 3.9143301454e+01
-2.7955285543e-04 7.0935652997e-05 3.9368234407e+01
-2.8446600866e-04 6.8686688030e-05 3.9575016350e+01
-2.8936954014e-04 6.6425999297e-05 3.9749383752e+01
-2.9427272362e-04 6.4170943809e-05 3.9842476228e+01
-2.9672846203e-04 6.3053121902e-05 3.9842814602e+01
-2.9919006851e-04 6.1947518437e-05 3.9801974391e+01
-3.0166128982e-04 6.0859723751e-05 3.9637072160e+01
-3.1173757484e-04 5.6890242544e-05 3.8175502096e+01
-3.1996711871e-04 5.5387732760e-05 1.5756588988e+01
-3.2514390853e-04 5.4585289493e-05 1.2955514680e+01
-3.3064425374e-04 5.2503903515e-05 1.2209148461e+01
-3.3606183407e-04 4.9892486309e-05 1.2324613569e+01
-3.4144135295e-04 4.6920649966e-05 1.2020331730e+01
-3.4680921151e-04 4.3645956212e-05 1.1738052500e+01
-3.5758940812e-04 3.6264753136e-05 1.0987913772e+01
-3.6855236975e-04 2.7747852223e-05 1.0121370548e+01
-3.7987223451e-04 1.7899866337e-05 9.0822715770e+00
6.3312222638e-05 1.3850549687e-04 7.0822441275e+01
8.3371552171e-05 1.5139982136e-04 1.9449783617e+01
1.8310415234e-04 1.6372278074e-04 1.3599332571e+01
3.0454412952e-04 1.1934761396e-04 1.2486898944e+01
3.6030136519e-04 6.8192167085e-05 1.1957468449e+01
5.2222086536e-05 1.3499799716e-04 6.7526369877e+01
7.1318950366e-05 1.4361369001e-04 7.0668704688e+00
2.0094816294e-04 1.6048607371e-04 1.3480670289e+01
3.7078528139e-04 5.2813185504e-05 1.1747993960e+01
-3.5418064967e-04 3.5853020744e-05 1.1568409348e+01
2.3162407322e-04 1.5289341076e-04 1.3199910341e+01
2.8894609856e-04 1.2915817220e-04 1.2615698069e+01
3.6611171410e-05 1.3236268022e-04 5.7829731020e+01
6.7320345769e-05 1.4035271987e-04 5.2642557646e+01
1.0525703234e-04 1.5787236515e-04 1.8145437057e+01
2.1004594682e-04 1.5922372149e-04 1.3360767341e+01
2.6864895405e-04 1.3999542518e-04 1.2785634176e+01
2.9665631213e-04 1.2472842288e-04 1.2540254668e+01
3.9066141712e-04 1.2605785026e-05 9.2586515041e+00
-2.0133738884e-04 4.0425984412e-05 4.1773465213e+01
-1.7934865416e-04 4.1488020929e-05 4.2858193820e+01
1.1296353496e-04 6.6341814166e-05 2.2895465292e+01
1.3464642375e-04 6.8694422451e-05 2.0625181255e+01
-1.5611022391e-04 4.0974946614e-05 4.3929968700e+01
2.7000486857e-04 6.7232339111e-05 1.5241485607e+01
1.7885342717e-04 1.2295138997e-04 1.5456605611e+01
1.5635435497e-04 1.2181398761e-04 1.7008339294e+01
6.7151640529e-05 9.4361866362e-05 2.2415262771e+01
-2.0225915196e-04 6.7656275425e-05 3.7906861026e+01
-2.2322611913e-04 4.1574988071e-05 3.9733733269e+01
2.4485549460e-04 4.1501040517e-05 1.7000580193e+01
2.9001647326e-04 9.6820846919e-05 1.3887731837e+01
2.0133272019e-04 9.3812104486e-05 1.5848610514e+01
3.3532398160e-04 6.7360142933e-05 1.3319841849e+01
2.3809072733e-05 6.8086614370e-05 2.8266891203e+01
-3.1409594238e-04 1.5132231238e-05 1.7034531142e+01
1.7858047711e-04 9.3931501414e-05 1.7008674594e+01
-1.5665942363e-04 9.4344939721e-05 3.5022016327e+01
6.8287899021e-05 1.2201773269e-04 2.1068053799e+01
1.5749821208e-04 1.4852440476e-04 1.5215425552e+01
4.5587507524e-05 6.6952547058e-05 2.2701514078e+01
2.6688112814e-04 9.5661032723e-05 1.4471271098e+01
2.9201528713e-04 3.8831089095e-05 1.5805625039e+01
1.5646196084e-04 9.3574280271e-05 1.7009752184e+01
-2.4592173818e-04 6.8385085479e-05 3.7203102599e+01
8.8857355846e-05 4.0888371203e-05 2.2809597062e+01
1.1317293782e-04 4.1593436702e-05 2.2887620145e+01
2.2328949524e-04 6.7780008874e-05 1.6281763017e+01
1.8022519315e-04 1.3541806701e-05 2.0318732025e+01
1.5721350191e-04 1.4334903451e-05 2.1767276905e+01
1.3368177629e-04 1.3354230086e-05 2.2944395987e+01
2.9055275672e-04 1.5059583872e-05 1.7116376868e+01
2.7067301928e-04 1.4430386344e-05 1.9169570454e+01
2.7039798855e-04 1.2235867513e-04 1.3511510472e+01
-7.7358275601e-07 1.3547314914e-05 4.4242522491e+01
-2.3712195887e-05 1.3441268056e-05 4.7847930124e+01
2.0001557107e-04 1.4826800459e-04 1.4179183436e+01
1.8063006527e-04 1.4955493980e-04 1.4538500463e+01
3.1233045263e-04 9.3829767868e-05 1.3266380232e+01
-1.8008245476e-04 9.4586361937e-05 3.5271365193e+01
2.2556829780e-05 1.2172219583e-04 4.0664852354e+01
-1.1139596024e-04 9.5768492443e-05 3.4608790543e+01
8.9574584321e-05 1.2323492937e-04 2.2235706764e+01
4.5671055756e-05 1.2334761644e-04 4.0462514466e+01
2.1803857155e-05 9.5922478982e-05 3.3342263254e+01
5.9999854754e-07 9.5312425726e-05 3.6623324561e+01
3.1436963168e-04 1.3208184102e-05 1.6631257282e+01
2.2473180478e-04 9.6643247038e-05 1.5129940239e+01
-2.6852441198e-04 4.1173652827e-05 3.0428916145e+01
-3.3652816718e-04 3.8880214291e-05 1.5308800445e+01
3.5814926191e-04 1.1808494237e-05 1.1831963767e+01
1.1149874133e-04 1.2230262091e-04 1.7277127321e+01
1.3468317442e-04 1.4942296082e-04 1.7041219440e+01
-1.8013333599e-04 6.7758432526e-05 3.8283774658e+01
1.8119862983e-04 6.7554243866e-05 1.7026727274e+01
-4.4474352252e-05 4.2015451955e-05 4.4531572132e+01
-6.6922627283e-05 4.0262715999e-05 4.5618639971e+01
-8.9279049317e-05 4.1969291359e-05 4.5318063304e+01
-2.1872034375e-05 4.0599018794e-05 4.2814665576e+01
-6.6033318481e-05 9.4849112591e-05 3.5360841474e+01
2.2248094190e-05 4.1876613351e-05 3.2766684946e+01
1.7953979823e-04 4.1064432106e-05 1.8025560377e+01
1.5693418196e-04 4.0338906271e-05 1.9855328660e+01
-2.4717667053e-04 1.4036845339e-05 3.7436841698e+01
3.5386699526e-04 7.1025046687e-05 1.2227947491e+01
-2.4140221068e-04 8.1413645860e-05 3.7046764880e+01
-1.1189313573e-04 4.0431166083e-05 4.5316350153e+01
1.1354528022e-04 1.4869890742e-04 1.7222543816e+01
-2.2335452158e-04 8.8790149671e-05 3.6180739541e+01
-2.6811348461e-04 1.2892806054e-05 2.8132684860e+01
2.4752309256e-04 9.4992068591e-05 1.4818276857e+01
3.1777875761e-04 1.0623837436e-04 1.2536487451e+01
2.8950223819e-04 1.2278074265e-04 1.2888183869e+01
-1.1260565589e-04 1.1428022728e-04 3.3060605345e+01
-1.6771776019e-04 1.0370271384e-04 3.4519995712e+01
-1.4180756739e-04 1.1030567607e-04 3.3745705995e+01
-2.5282071600e-04 7.7760213137e-05 3.7674945019e+01
-2.5523337572e-04 7.6159861419e-05 3.7685549574e+01
-1.6311991199e-04 1.0582988204e-04 3.4334798497e+01
-2.9055415827e-04 6.0894706372e-05 3.6293931671e+01
-1.7056874010e-04 1.0422493508e-04 3.4548620086e+01
3.2111761568e-04 1.0328132593e-04 1.2523108456e+01
3.4430916999e-04 8.0925859004e-05 1.2366461520e+01
-1.2504993833e-04 1.1284339711e-04 3.3338861835e+01
-3.1191317813e-04 5.2602450798e-05 1.8048328401e+01
-3.0629319416e-04 5.4147496271e-05 2.7549575757e+01
-3.0356264443e-04 5.5121183856e-05 3.0063625758e+01
-3.0087832733e-04 5.6148738187e-05 3.2006897026e+01
-2.3904856108e-04 8.3526231549e-05 3.6740367337e+01
-2.8553352829e-04 6.3524630753e-05 3.7289070672e+01
-2.8305191596e-04 6.4850521357e-05 3.7610610463e+01
-2.6192210613e-04 7.3888575540e-05 3.7881129445e+01
-2.9589171403e-04 5.8758782285e-05 3.5066551890e+01
-2.4628108284e-04 8.0539885997e-05 3.7433593913e+01
3.0766801893e-04 1.1548229750e-04 1.2539082039e+01
-3.1322668552e-04 4.1458561837e-05 1.7149429940e+01
-3.3074116266e-04 4.6541526599e-05 1.5363275968e+01
-3.2487216864e-04 4.8644972725e-05 1.6790566061e+01
5.0860653043e-05 1.3277470846e-04 5.9961135383e+01
3.8115790837e-04 1.2716835480e-05 8.4720856912e+00
2.0234998374e-04 4.1673565095e-05 1.7391788728e+01
-1.4885342535e-04 1.0837554736e-04 3.3955021148e+01
-1.8666217424e-04 9.9978844738e-05 3.5050017176e+01
-3.5698922120e-04 1.3540486384e-05 1.5415295726e+01
3.3570265342e-04 4.0503710026e-05 1.4232454392e+01
-1.1792607870e-04 1.1480966034e-04 3.3148811131e+01
-1.0566916321e-04 1.1624645823e-04 3.2883043008e+01
-1.0830884896e-04 1.1646451183e-04 3.2930139903e+01
5.4631425348e-05 1.3495057215e-04 6.5906860482e+01
9.0246822723e-05 1.4845891363e-04 1.9912413478e+01
-3.6504186985e-04 2.5351973035e-05 1.0989927519e+01
-3.5065853662e-04 3.5382062473e-05 1.2160461873e+01
