x_m,y_m,wss_mag_dyn_cm2,wss_x_dyn_cm2,wss_y_dyn_cm2,pressure_Pa,normal_x,normal_y
-3.9839856828e-04,1.1887713864e-06,4.9546720632e-01,3.9783592773e-01,2.9532071912e-01,2.3671246996e+01,-5.9604493568e-01,8.0295107862e-01
-3.9225918434e-04,6.2764365094e-06,1.7692318221e+00,1.3105449814e+00,1.1885508370e+00,2.3832383036e+01,-6.7178920374e-01,7.4074237474e-01
-3.8644575478e-04,1.1741130828e-05,3.1852561821e+00,2.3012925910e+00,2.2022509749e+00,2.3938536618e+01,-6.9138896496e-01,7.2248273276e-01
-3.8063404186e-04,1.7208161004e-05,4.6877628941e+00,3.4463130792e+00,3.1777424551e+00,2.3995671548e+01,-6.7788037214e-01,7.3517222544e-01
-3.7768463656e-04,1.9894633505e-05,5.4305076148e+00,4.0369497316e+00,3.6322788741e+00,2.4011297737e+01,-6.6886544164e-01,7.4338349523e-01
-3.7167988254e-04,2.5148504690e-05,6.8882116664e+00,5.2487958040e+00,4.4606728830e+00,2.4021503849e+01,-6.4758069279e-01,7.6199688079e-01
-3.6552201557e-04,3.0221918711e-05,8.3154774974e+00,6.4990824179e+00,5.1873975880e+00,2.4007714934e+01,-6.2382437925e-01,7.8156454875e-01
-3.6238394551e-04,3.2685256765e-05,9.0214842156e+00,7.1412047755e+00,5.5127463035e+00,2.3992788949e+01,-6.1106866362e-01,7.9157759465e-01
-3.5598638184e-04,3.7452633031e-05,1.0438182762e+01,8.4768312402e+00,6.0908941460e+00,2.3946577422e+01,-5.8352054997e-01,8.1209837321e-01
-3.4942001481e-04,4.1984360357e-05,1.1884832679e+01,9.9127721207e+00,6.5563859467e+00,2.3876991394e+01,-5.5165992858e-01,8.3406913574e-01
-3.4606859282e-04,4.4148222361e-05,1.2630944769e+01,1.0686333841e+01,6.7337236939e+00,2.3829470133e+01,-5.3311322449e-01,8.4604390541e-01
-3.3921520493e-04,4.8231568014e-05,1.4202778270e+01,1.2391535326e+01,6.9403719529e+00,2.3701438357e+01,-4.8866297994e-01,8.7247263111e-01
-3.3212196860e-04,5.1879275730e-05,1.5906248938e+01,1.4399390598e+01,6.7576849343e+00,2.3507566545e+01,-4.2484466078e-01,9.0526626702e-01
-3.2846717251e-04,5.3473296763e-05,1.6863091644e+01,1.5636612048e+01,6.3134953437e+00,2.3318981647e+01,-3.7439726221e-01,9.2726840238e-01
-3.2077459509e-04,5.5388547662e-05,1.3415619848e+01,1.3368469949e+01,1.1237736176e+00,2.2629834750e+01,-8.3766060037e-02,9.9648544755e-01
