x_m,y_m,sigma_comp_mag_Pa
3.8383284109e-04,3.5346002438e-05,1.1044289081e+01
3.7444778069e-04,5.2636567221e-05,1.1476304558e+01
3.7190866875e-04,5.6731801703e-05,1.1547791574e+01
3.6660201254e-04,6.4661755964e-05,1.1660472631e+01
3.6099980506e-04,7.2252574172e-05,1.1745584828e+01
3.5511557324e-04,7.9512628367e-05,1.1814359206e+01
3.5207228277e-04,8.3020999763e-05,1.1844740319e+01
3.4896409021e-04,8.6449494599e-05,1.1873954431e+01
3.4579289808e-04,8.9798962251e-05,1.1901960473e+01
3.4256056264e-04,9.3070301672e-05,1.1929300905e+01
3.3926908425e-04,9.6264271345e-05,1.1957401600e+01
3.3592027107e-04,9.9381780916e-05,1.1984859614e+01
3.3251593910e-04,1.0242362065e-04,1.2012825886e+01
3.2905794660e-04,1.0539054017e-04,1.2041622014e+01
3.2198793988e-04,1.1110279793e-04,1.2101632932e+01
3.1102304630e-04,1.1912844712e-04,1.2197722236e+01
2.9966400192e-04,1.2651982299e-04,1.2302957278e+01
2.8794945006e-04,1.3329462730e-04,1.2415048733e+01
2.7591388290e-04,1.3946844459e-04,1.2533216427e+01
2.6358769781e-04,1.4505437034e-04,1.2654465209e+01
2.4674588965e-04,1.5160420718e-04,1.2819437072e+01
2.2948666617e-04,1.5713787956e-04,1.2981043116e+01
8.7776686004e-05,1.5471451175e-04,1.7606868242e+01
7.7391533584e-05,1.4873064715e-04,1.9412978422e+01
5.8404179752e-05,1.3772215813e-04,7.6334299667e+01
3.8166849854e-05,1.3430098066e-04,5.9320588855e+01
1.9257439053e-05,1.3236708261e-04,5.2139173058e+01
1.6872114669e-05,1.3217865306e-04,5.0843588838e+01
2.4006919430e-06,1.3115775356e-04,4.3030510424e+01
-3.9128926570e-08,1.3099654452e-04,4.1787046323e+01
-1.4839984286e-05,1.3002645417e-04,3.4669725814e+01
-1.7332439586e-05,1.2985989487e-04,3.3457652640e+01
-3.2430583520e-05,1.2879569634e-04,3.1839624638e+01
-3.4969505021e-05,1.2860455668e-04,3.1861561218e+01
