x_m y_m wss_mag_dyn_cm2 wss_x_dyn_cm2 wss_y_dyn_cm2 pressure_Pa normal_x normal_y
-3.9839846152e-04 1.1892154606e-06 4.9236332045e-01 3.9530055799e-01 2.9352871780e-01 2.3670260550e+01 -5.9616284482e-01 8.0286353913e-01
-3.8063654045e-04 1.7217677432e-05 4.6869229715e+00 3.4443039486e+00 3.1786816843e+00 2.3994914081e+01 -6.7820224562e-01 7.3487530509e-01
-3.6552725823e-04 3.0240000880e-05 8.3112942792e+00 6.4937463609e+00 5.1873760994e+00 2.4007397128e+01 -6.2413577538e-01 7.8131589891e-01
-3.4942763933e-04 4.2011702373e-05 1.1880675126e+01 9.9057385922e+00 6.5594804973e+00 2.3876743921e+01 -5.5211344706e-01 8.3376899773e-01
-3.3213562553e-04 5.1924807195e-05 1.5899667999e+01 1.4384052884e+01 6.7748405974e+00 2.3508845402e+01 -4.2609950081e-01 9.0467630422e-01
-3.1294105125e-04 5.6679788331e-05 8.4922886727e+00 8.1523550915e+00 2.3786705032e+00 2.2976984718e+01 -2.8009769744e-01 9.5997149952e-01
-2.9444685087e-04 6.4113332740e-05 1.1413187494e+01 1.0391266538e+01 4.7204267301e+00 2.3263561681e+01 -4.1359407550e-01 9.1046138892e-01
-2.7629634283e-04 7.2397017385e-05 1.3529191628e+01 1.2340324371e+01 5.5457569837e+00 2.3173277738e+01 -4.0991044670e-01 9.1212577295e-01
-2.5798624874e-04 8.0319795751e-05 1.5065285169e+01 1.3918810358e+01 5.7645065197e+00 2.2998685953e+01 -3.8263507495e-01 9.2389956132e-01
-2.3942289450e-04 8.7628465173e-05 1.6237004859e+01 1.5217511149e+01 5.6628333205e+00 2.2787660925e+01 -3.4876095497e-01 9.3721171370e-01
-2.2060259559e-04 9.4247608706e-05 1.7062638846e+01 1.6192729380e+01 5.3785834193e+00 2.2564009430e+01 -3.1522576712e-01 9.4901670994e-01
-2.0156521146e-04 1.0021410018e-04 1.7732131100e+01 1.7006951817e+01 5.0191695785e+00 2.2333277214e+01 -2.8305506823e-01 9.5910365881e-01
-1.8234178425e-04 1.0555123072e-04 1.8258813519e+01 1.7668681180e+01 4.6045603991e+00 2.2096571925e+01 -2.5218289208e-01 9.6767959002e-01
-1.6296130321e-04 1.1028685794e-04 1.8661599747e+01 1.8192621324e+01 4.1573831290e+00 2.1854206491e+01 -2.2277742452e-01 9.7486933439e-01
-1.4344993964e-04 1.1445095898e-04 1.8949057547e+01 1.8585716307e+01 3.6929569831e+00 2.1608375512e+01 -1.9488868900e-01 9.8082536616e-01
-1.2383079521e-04 1.1807390610e-04 1.9118214362e+01 1.8844736273e+01 3.2221165704e+00 2.1359130563e+01 -1.6853648093e-01 9.8569541675e-01
-1.0412424418e-04 1.2118707434e-04 1.9155250256e+01 1.8956133828e+01 2.7547418546e+00 2.1107735419e+01 -1.4381132158e-01 9.8960512518e-01
-8.4348371771e-05 1.2382494141e-04 1.9037975364e+01 1.8898224728e+01 2.3025221145e+00 2.0856383228e+01 -1.2094364398e-01 9.9265937510e-01
-6.4519348739e-05 1.2602885296e-04 1.8731725873e+01 1.8637054480e+01 1.8808919343e+00 2.0608544908e+01 -1.0041210015e-01 9.9494593328e-01
-4.4651700983e-05 1.2785328589e-04 1.8190180282e+01 1.8127279979e+01 1.5114163074e+00 2.0369703585e+01 -8.3089682675e-02 9.9654207369e-01
-2.4758584831e-05 1.2937686426e-04 1.7352459718e+01 1.7309163407e+01 1.2250389410e+00 2.0149138962e+01 -7.0597423125e-02 9.9750488913e-01
-4.8525902771e-06 1.3072362148e-04 1.6131249827e+01 1.6095989562e+01 1.0659929712e+00 1.9962449083e+01 -6.6082478580e-02 9.9781416407e-01
1.5050351745e-05 1.3211344225e-04 1.4382669256e+01 1.4340084157e+01 1.1059662349e+00 1.9840041275e+01 -7.6895756637e-02 9.9703913795e-01
3.4905590483e-05 1.3405650065e-04 1.2406655009e+01 1.2322326555e+01 1.4440764426e+00 1.9825341545e+01 -1.1639530893e-01 9.9320296619e-01
5.8485884055e-05 1.3809003276e-04 8.4164309075e+00 8.1539698214e+00 2.0854460846e+00 2.0110838750e+01 -2.4778271306e-01 9.6881563112e-01
7.5100296252e-05 1.4784340169e-04 1.6138304798e+01 1.0858101562e+01 1.1939284410e+01 2.1583346286e+01 -7.3981031832e-01 6.7281549692e-01
9.2641323541e-05 1.5690029365e-04 2.5452869282e+01 2.4022641704e+01 8.4119700568e+00 2.0057423860e+01 -3.3049201502e-01 9.4380878784e-01
1.1164799366e-04 1.6296297095e-04 2.7471923274e+01 2.6181898787e+01 8.3195399081e+00 1.9858253903e+01 -3.0283791291e-01 9.5304207594e-01
1.3104587700e-04 1.6742831009e-04 3.3141400616e+01 3.2906191241e+01 3.9414480608e+00 1.8747302323e+01 -1.1892822836e-01 9.9290285351e-01
1.5095102001e-04 1.6860479430e-04 3.1634017260e+01 3.1633286750e+01 2.1498232398e-01 1.8014099212e+01 -6.7959223203e-03 9.9997690745e-01
1.7088318023e-04 1.6788604875e-04 3.0396562340e+01 3.0308130618e+01 -2.3169420622e+00 1.7443925999e+01 7.6223818876e-02 9.9709073280e-01
1.9070300773e-04 1.6563980030e-04 2.9233185247e+01 2.8912423142e+01 -4.3186696755e+00 1.6945493133e+01 1.4773175208e-01 9.8902746647e-01
2.1032066680e-04 1.6202821185e-04 2.8083613396e+01 2.7434687555e+01 -6.0022712504e+00 1.6484733121e+01 2.1372859559e-01 9.7689307881e-01
2.2965689897e-04 1.5712782061e-04 2.6881492483e+01 2.5827484757e+01 -7.4535675532e+00 1.6051437521e+01 2.7727506417e-01 9.6079058009e-01
2.4862960640e-04 1.5096849685e-04 2.5584147565e+01 2.4058535374e+01 -8.7026135307e+00 1.5639521192e+01 3.4015647809e-01 9.4036884806e-01
2.6714666434e-04 1.4355169030e-04 2.4132675707e+01 2.2081251461e+01 -9.7367536015e+00 1.5246426382e+01 4.0346763532e-01 9.1499391651e-01
2.8510111874e-04 1.3486198831e-04 2.2470785840e+01 1.9860283204e+01 -1.0512153315e+01 1.4873563250e+01 4.6781422731e-01 8.8382682055e-01
3.0236774948e-04 1.2487632074e-04 2.0533738401e+01 1.7369130602e+01 -1.0952064411e+01 1.4525147793e+01 5.3336923832e-01 8.4588253063e-01
3.1880111235e-04 1.1357295932e-04 1.8261777311e+01 1.4611965258e+01 -1.0953674354e+01 1.4209545106e+01 5.9981425508e-01 8.0013927500e-01
3.3423632700e-04 1.0094192462e-04 1.5613842718e+01 1.1643272118e+01 -1.0403186953e+01 1.3938560012e+01 6.6627973277e-01 7.4570189600e-01
3.4849403656e-04 8.6996552291e-05 1.2590993614e+01 8.5880106344e+00 -9.2075617575e+00 1.3729625794e+01 7.3128158429e-01 6.8207568823e-01
3.6139253060e-04 7.1786146502e-05 9.2764727685e+00 5.6549353358e+00 -7.3535469927e+00 1.3604705084e+01 7.9270938170e-01 6.0959973439e-01
3.7277085041e-04 5.5407839210e-05 5.8827503811e+00 3.1188306712e+00 -4.9879502093e+00 1.3584543662e+01 8.4789424779e-01 5.3016539359e-01
3.8253248573e-04 3.8016788990e-05 2.7726684618e+00 1.2443283632e+00 -2.4777686179e+00 1.3680091520e+01 8.9364042329e-01 4.4878368270e-01
3.9077102061e-04 1.9851246893e-05 5.2687576181e-01 2.0155126134e-01 -4.8680094231e-01 1.3877031994e+01 9.2393876811e-01 3.8254039367e-01
3.9892725253e-04 1.6804696754e-06 7.0845494444e-02 -3.8120095489e-02 5.9715512247e-02 1.4066689781e+01 8.4289781186e-01 5.3807367410e-01
