x_m,y_m,sigma_xx_Pa,sigma_xy_Pa,sigma_yy_Pa,von_mises_Pa,sigma_max_principal_Pa,sigma_min_principal_Pa,sigma_tension_Pa,sigma_comp_mag_Pa,is_surface,wss_mag_dyn_cm2,wss_x_dyn_cm2,wss_y_dyn_cm2,pressure_Pa,normal_x,normal_y
3.9653901015e-04,5.9320669267e-06,-3.9159695713e+00,-2.7068343369e+01,6.2288204506e+01,7.0897165621e+01,7.0118615123e+01,-1.1746380189e+01,7.0118615123e+01,9.9693632298e+00,1.0000000000e+00,1.1550568182e-01,-5.1212016679e-02,1.0353208141e-01,1.4045925273e+01,8.9633756345e-01,4.4337227286e-01
3.9425261827e-04,1.1276184708e-05,-3.4518066185e+00,-1.7532805525e+01,4.1247281331e+01,4.9344314551e+01,4.7386690645e+01,-9.5912159327e+00,4.7386690645e+01,9.7246232897e+00,1.0000000000e+00,4.3104471290e-02,1.6172337397e-02,-3.9955612225e-02,1.3968270078e+01,9.2694820351e-01,3.7518932289e-01
3.9218071724e-04,1.6381492790e-05,-5.4333437959e+00,-1.4407304096e+01,3.3478824969e+01,4.1813898512e+01,3.8164006148e+01,-1.0118524975e+01,3.8164006148e+01,1.0141478597e+01,1.0000000000e+00,2.4805007501e-01,9.3441434370e-02,-2.2977714868e-01,1.3923046652e+01,9.2633371980e-01,3.7670391499e-01
3.9014720412e-04,2.1313086144e-05,-6.2006754614e+00,-1.2882699285e+01,2.8004234851e+01,3.7027084259e+01,3.2279376759e+01,-1.0475817369e+01,3.2279376759e+01,1.0465710005e+01,1.0000000000e+00,5.2687576181e-01,2.0155126134e-01,-4.8680094231e-01,1.3877031994e+01,9.2393876811e-01,3.8254039367e-01
3.8809475146e-04,2.6106338556e-05,-6.5621786908e+00,-1.2010207616e+01,2.4031995827e+01,3.3654942940e+01,2.8165598934e+01,-1.0695781798e+01,2.8165598934e+01,1.0698152085e+01,1.0000000000e+00,1.2737768306e+00,5.1554165189e-01,-1.1647850528e+00,1.3789146522e+01,9.1443416528e-01,4.0473467527e-01
3.8599504297e-04,3.0779887465e-05,-6.7575445374e+00,-1.1492063439e+01,2.0967452484e+01,3.1154062305e+01,2.5091760231e+01,-1.0881852285e+01,2.5091760231e+01,1.0881543704e+01,1.0000000000e+00,1.7295539854e+00,7.2378715618e-01,-1.5708243508e+00,1.3749137616e+01,9.0822510545e-01,4.1848196835e-01
3.8383284109e-04,3.5346002438e-05,-6.8588527746e+00,-1.1124789069e+01,1.8408615355e+01,2.9131618477e+01,2.2594029060e+01,-1.1044266480e+01,2.2594029060e+01,1.1044289081e+01,1.0000000000e+00,2.2308843868e+00,9.6659146989e-01,-2.0106083849e+00,1.3712663172e+01,9.0126068246e-01,4.3327725794e-01
3.8160066767e-04,3.9810076099e-05,-6.8841849062e+00,-1.0862926363e+01,1.6208716082e+01,2.7443795854e+01,2.0506948512e+01,-1.1182417336e+01,2.0506948512e+01,1.1182420102e+01,1.0000000000e+00,3.3477109646e+00,1.5558365372e+00,-2.9642100756e+00,1.3651794387e+01,8.8544384712e-01,4.6474637556e-01
3.7929355875e-04,4.4177903568e-05,-6.8626113459e+00,-1.0656333951e+01,1.4284410141e+01,2.5990610835e+01,1.8716585560e+01,-1.1294786764e+01,1.8716585560e+01,1.1294785055e+01,1.0000000000e+00,3.9503113287e+00,1.9000532546e+00,-3.4633448028e+00,1.3627914356e+01,8.7672705127e-01,4.8098823018e-01
3.7690951233e-04,4.8452555868e-05,-6.8125921265e+00,-1.0487495373e+01,1.2585288833e+01,2.4732227361e+01,1.7165506478e+01,-1.1392809771e+01,1.7165506478e+01,1.1392810124e+01,1.0000000000e+00,4.5767931659e+00,2.2763692441e+00,-3.9705388486e+00,1.3608712111e+01,8.6753731371e-01,4.9737210347e-01
3.7444778069e-04,5.2636567221e-05,-6.7387916253e+00,-1.0338061927e+01,1.1053091361e+01,2.3613835817e+01,1.5790604334e+01,-1.1476304598e+01,1.5790604334e+01,1.1476304558e+01,1.0000000000e+00,5.2229524297e+00,2.6835154519e+00,-4.4808455567e+00,1.3594313572e+01,8.5791429598e-01,5.1379281890e-01
3.7190866875e-04,5.6731801703e-05,-6.6453805681e+00,-1.0201989810e+01,9.6587862316e+00,2.2611047579e+01,1.4561197238e+01,-1.1547791574e+01,1.4561197238e+01,1.1547791574e+01,1.0000000000e+00,5.8827503811e+00,3.1188306712e+00,-4.9879502093e+00,1.3584543662e+01,8.4789424779e-01,5.3016539359e-01
3.6929302683e-04,6.0739755375e-05,-6.5353241567e+00,-1.0075213689e+01,8.3798577276e+00,2.1703901532e+01,1.3453020177e+01,-1.1608486606e+01,1.3453020177e+01,1.1608486608e+01,1.0000000000e+00,7.2297926771e+00,4.0671680364e+00,-5.9772942304e+00,1.3578954939e+01,8.2675873257e-01,5.6255666215e-01
3.6660201254e-04,6.4661755964e-05,-6.4121270016e+00,-9.9544190766e+00,7.2042681150e+00,2.0882545365e+01,1.2452613745e+01,-1.1660472631e+01,1.2452613745e+01,1.1660472631e+01,1.0000000000e+00,7.9121743549e+00,4.5770741906e+00,-6.4539053972e+00,1.3583208793e+01,8.1569302037e-01,5.7848500113e-01
3.6383705191e-04,6.8498984632e-05,-6.2774378745e+00,-9.8398316997e+00,6.1167450196e+00,2.0135760671e+01,1.1545040416e+01,-1.1705733271e+01,1.1545040416e+01,1.1705733271e+01,1.0000000000e+00,8.5954034532e+00,5.1071755501e+00,-6.9135894023e+00,1.3592001298e+01,8.0433564753e-01,5.9417519816e-01
3.6099980506e-04,7.2252574172e-05,-6.1352848499e+00,-9.7273233256e+00,5.1083428644e+00,1.9454591839e+01,1.0718642843e+01,-1.1745584828e+01,1.0718642843e+01,1.1745584828e+01,1.0000000000e+00,9.2764727685e+00,5.6549353358e+00,-7.3535469927e+00,1.3604705084e+01,7.9270938170e-01,6.0959973439e-01
3.5809204681e-04,7.5923475256e-05,-5.9849813676e+00,-9.6182759473e+00,4.1683136625e+00,1.8833132760e+01,9.9649804158e+00,-1.1781648121e+01,9.9649804158e+00,1.1781648121e+01,1.0000000000e+00,9.9543650637e+00,6.2189184684e+00,-7.7726724430e+00,1.3621748938e+01,7.8083055958e-01,6.2474285689e-01
3.5511557324e-04,7.9512628367e-05,-5.8277463108e+00,-9.5124224515e+00,3.2917248528e+00,1.8266811397e+01,9.2783377482e+00,-1.1814359206e+01,9.2783377482e+00,1.1814359206e+01,1.0000000000e+00,1.0627394619e+01,6.7970846248e+00,-8.1695261177e+00,1.3643284675e+01,7.6872332408e-01,6.3958146550e-01
3.5207228277e-04,8.3020999763e-05,-5.6647222383e+00,-9.4088420426e+00,2.4722108402e+00,1.7750896063e+01,8.6522289211e+00,-1.1844740319e+01,8.6522289211e+00,1.1844740319e+01,1.0000000000e+00,1.1946615336e+01,7.9833965802e+00,-8.8874629128e+00,1.3697046406e+01,7.4393145363e-01,6.6825593323e-01
3.4896409021e-04,8.6449494599e-05,-5.4962756519e+00,-9.3073628727e+00,1.7025210202e+00,1.7280804475e+01,8.0801997995e+00,-1.1873954431e+01,8.0801997995e+00,1.1873954431e+01,1.0000000000e+00,1.2590993614e+01,8.5880106344e+00,-9.2075617575e+00,1.3729625794e+01,7.3128158429e-01,6.8207568823e-01
3.4579289808e-04,8.9798962251e-05,-5.3228466067e+00,-9.2090829348e+00,9.8094783083e-01,1.6854605608e+01,7.5600616971e+00,-1.1901960473e+01,7.5600616971e+00,1.1901960473e+01,1.0000000000e+00,1.3222260117e+01,9.1965858174e+00,-9.5000511530e+00,1.3765012868e+01,7.1848920448e-01,6.9553811042e-01
