x_m,y_m,von_mises_Pa,wss_mag_dyn_cm2
4.0000000000e-04,0.0000000000e+00,1.1809615641e+02,7.0845494444e-02
-4.0000000000e-04,3.0616169979e-20,5.9666009040e+02,4.9236332045e-01
3.9653901015e-04,5.9320669267e-06,7.0897165621e+01,1.1550568182e-01
3.9425261827e-04,1.1276184708e-05,4.9344314551e+01,4.3104471290e-02
3.9218071724e-04,1.6381492790e-05,4.1813898512e+01,2.4805007501e-01
3.9014720412e-04,2.1313086144e-05,3.7027084259e+01,5.2687576181e-01
3.8809475146e-04,2.6106338556e-05,3.3654942940e+01,1.2737768306e+00
3.8599504297e-04,3.0779887465e-05,3.1154062305e+01,1.7295539854e+00
3.8383284109e-04,3.5346002438e-05,2.9131618477e+01,2.2308843868e+00
3.8160066767e-04,3.9810076099e-05,2.7443795854e+01,3.3477109646e+00
3.7929355875e-04,4.4177903568e-05,2.5990610835e+01,3.9503113287e+00
3.7690951233e-04,4.8452555868e-05,2.4732227361e+01,4.5767931659e+00
3.7444778069e-04,5.2636567221e-05,2.3613835817e+01,5.2229524297e+00
3.7190866875e-04,5.6731801703e-05,2.2611047579e+01,5.8827503811e+00
3.6929302683e-04,6.0739755375e-05,2.1703901532e+01,7.2297926771e+00
3.6660201254e-04,6.4661755964e-05,2.0882545365e+01,7.9121743549e+00
3.6383705191e-04,6.8498984632e-05,2.0135760671e+01,8.5954034532e+00
3.6099980506e-04,7.2252574172e-05,1.9454591839e+01,9.2764727685e+00
3.5809204681e-04,7.5923475256e-05,1.8833132760e+01,9.9543650637e+00
3.5511557324e-04,7.9512628367e-05,1.8266811397e+01,1.0627394619e+01
3.5207228277e-04,8.3020999763e-05,1.7750896063e+01,1.1946615336e+01
3.4896409021e-04,8.6449494599e-05,1.7280804475e+01,1.2590993614e+01
3.4579289808e-04,8.9798962251e-05,1.6854605608e+01,1.3222260117e+01
3.4256056264e-04,9.3070301672e-05,1.6466011072e+01,1.3841301986e+01
3.3926908425e-04,9.6264271345e-05,1.6114529607e+01,1.4446092489e+01
3.3592027107e-04,9.9381780916e-05,1.5798275139e+01,1.5037605574e+01
3.3251593910e-04,1.0242362065e-04,1.5512419196e+01,1.6172514413e+01
3.2905794660e-04,1.0539054017e-04,1.5256034805e+01,1.6719397518e+01
3.2554803926e-04,1.0828334793e-04,1.5027303574e+01,1.7248835325e+01
3.2198793988e-04,1.1110279793e-04,1.4825387703e+01,1.7762890144e+01
3.1837932497e-04,1.1384965430e-04,1.4647286207e+01,1.8261777311e+01
3.1472383733e-04,1.1652463126e-04,1.4491991457e+01,1.8744881775e+01
3.1102304630e-04,1.1912844712e-04,1.4357740588e+01,1.9213846067e+01
3.0727850583e-04,1.2166180970e-04,1.4245499531e+01,2.0107847744e+01
3.0349168223e-04,1.2412538418e-04,1.4152137028e+01,2.0533738401e+01
2.9966400192e-04,1.2651982299e-04,1.4076881697e+01,2.0945704607e+01
2.9579685808e-04,1.2884577726e-04,1.4018492111e+01,2.1344950641e+01
2.9189157611e-04,1.3110384376e-04,1.3977213447e+01,2.1733608173e+01
2.8794945006e-04,1.3329462730e-04,1.3950375617e+01,2.2109353560e+01
2.8397168300e-04,1.3541864194e-04,1.3939407624e+01,2.2470785840e+01
2.7995943851e-04,1.3747640607e-04,1.3943004016e+01,2.2822570142e+01
2.7591388290e-04,1.3946844459e-04,1.3960758314e+01,2.3496676830e+01
2.7183605445e-04,1.4139519414e-04,1.3991848813e+01,2.3819323252e+01
2.6772700523e-04,1.4325705082e-04,1.4034427288e+01,2.4132675707e+01
2.6358769781e-04,1.4505437034e-04,1.4091798375e+01,2.4438316562e+01
2.5941905482e-04,1.4678749911e-04,1.4160644803e+01,2.4735581403e+01
2.5522197629e-04,1.4845672263e-04,1.4244577127e+01,2.5025287420e+01
2.5099734956e-04,1.5006222933e-04,1.4337173661e+01,2.5308265462e+01
2.4674588965e-04,1.5160420718e-04,1.4443610322e+01,2.5584147565e+01
2.4246841140e-04,1.5308276439e-04,1.4561825960e+01,2.6119144278e+01
2.3816560614e-04,1.5449794752e-04,1.4692229053e+01,2.6377510057e+01
2.3383815040e-04,1.5584968589e-04,1.4836036854e+01,2.6631255095e+01
2.2948666617e-04,1.5713787956e-04,1.4991933772e+01,2.6881492483e+01
2.2511179056e-04,1.5836234383e-04,1.5160228433e+01,2.7127494660e+01
2.2071406744e-04,1.5952280280e-04,1.5341463932e+01,2.7371638812e+01
2.1629406017e-04,1.6061886772e-04,1.5536249713e+01,2.7611516589e+01
2.1185224288e-04,1.6165002502e-04,1.5745848741e+01,2.8083613396e+01
2.0738909058e-04,1.6261563184e-04,1.5969971777e+01,2.8315484445e+01
2.0290508706e-04,1.6351495192e-04,1.6209890947e+01,2.8545372464e+01
1.9840060467e-04,1.6434709663e-04,1.6465427905e+01,2.8774810099e+01
1.9387615611e-04,1.6511095582e-04,1.6737965343e+01,2.9004296276e+01
1.8933204127e-04,1.6580524028e-04,1.7029272800e+01,2.9233185247e+01
1.8476868588e-04,1.6642846851e-04,1.7340065565e+01,2.9693422514e+01
1.8018645879e-04,1.6697891076e-04,1.7672326858e+01,2.9925132528e+01
1.7558577423e-04,1.6745450852e-04,1.8025220965e+01,3.0158798166e+01
1.7096704773e-04,1.6785284684e-04,1.8408529948e+01,3.0396562340e+01
1.6633055787e-04,1.6817110273e-04,1.8818419016e+01,3.0635542984e+01
1.6167700909e-04,1.6840606784e-04,1.9256647640e+01,3.0876098643e+01
1.5700683213e-04,1.6855384822e-04,1.9726793875e+01,3.1122692851e+01
1.5232069035e-04,1.6860973970e-04,2.0238050613e+01,3.1634017260e+01
1.4761945952e-04,1.6856817441e-04,2.0787972509e+01,3.1901351527e+01
1.4290426459e-04,1.6842233525e-04,2.1402235718e+01,3.2178711427e+01
1.3817621030e-04,1.6816368905e-04,2.2059566683e+01,3.2475061423e+01
1.3343806516e-04,1.6778162572e-04,2.2803063794e+01,3.2784313680e+01
1.2869198021e-04,1.6726117787e-04,2.3645782077e+01,3.3550960384e+01
1.2394242877e-04,1.6658194850e-04,2.4634660371e+01,3.3506076846e+01
1.1919416709e-04,1.6570730838e-04,2.6061918429e+01,3.2140901966e+01
1.1449211204e-04,1.6453530644e-04,2.6038729746e+01,2.9694334055e+01
1.1015246967e-04,1.6310573708e-04,2.4786867599e+01,2.7471923274e+01
1.0621154409e-04,1.6167124542e-04,2.4127455763e+01,2.6143921343e+01
1.0245506106e-04,1.6029953836e-04,2.3393257626e+01,2.5587624418e+01
9.8770641091e-05,1.5897600657e-04,2.2751051271e+01,2.5450374927e+01
9.5088513544e-05,1.5763429001e-04,2.2888123742e+01,2.5449009864e+01
9.1421803513e-05,1.5622962384e-04,2.3553441918e+01,2.5452869282e+01
8.7776686004e-05,1.5471451175e-04,2.4974200083e+01,2.5375830674e+01
8.4175371478e-05,1.5303239744e-04,2.6557055620e+01,2.5059904603e+01
8.0664202719e-05,1.5109801504e-04,3.0834257706e+01,2.4342226660e+01
7.7391533584e-05,1.4873064715e-04,2.8196048129e+01,2.2227443847e+01
7.5209440440e-05,1.4578748388e-04,3.3348895979e+01,1.6138304798e+01
7.4112645960e-05,1.4406519628e-04,6.9711369841e+01,8.3358511295e+00
7.2492975537e-05,1.4285151049e-04,7.0027172950e+01,8.3358511295e+00
7.0677936062e-05,1.4183880685e-04,6.1824364519e+01,4.9180919406e+00
6.8763044159e-05,1.4095903200e-04,5.6114989127e+01,4.9180919406e+00
6.6777070291e-05,1.4017684747e-04,5.2502872798e+01,6.2485089649e+00
6.4739580212e-05,1.3947372635e-04,4.9035751384e+01,6.2485089649e+00
6.2660962543e-05,1.3883666112e-04,4.6047658114e+01,7.4059550246e+00
6.0547607753e-05,1.3825550708e-04,4.3247036345e+01,7.4059550246e+00
5.8404179752e-05,1.3772215813e-04,4.0621342634e+01,8.4164309075e+00
5.6233740128e-05,1.3723014662e-04,3.7987814344e+01,9.2580580665e+00
5.4037830908e-05,1.3677378955e-04,3.5539748794e+01,9.2580580665e+00
5.1818486346e-05,1.3634852899e-04,3.3296645797e+01,1.0000527048e+01
4.9578145133e-05,1.3595044453e-04,3.1506929641e+01,1.0000527048e+01
4.7321552478e-05,1.3557733428e-04,3.0098910099e+01,1.0669959125e+01
4.5051590408e-05,1.3522781816e-04,2.8826712521e+01,1.0669959125e+01
4.2769343505e-05,1.3490016092e-04,2.7496891350e+01,1.1286860913e+01
4.0474608327e-05,1.3459201328e-04,2.6033290882e+01,1.1864686258e+01
3.8166849854e-05,1.3430098066e-04,2.4445119881e+01,1.1864686258e+01
3.5845534321e-05,1.3402476087e-04,2.2780110264e+01,1.2406655009e+01
3.3510237128e-05,1.3376127777e-04,2.1070845775e+01,1.2406655009e+01
3.1160392654e-05,1.3350838096e-04,1.9313118607e+01,1.2902741682e+01
2.8794805159e-05,1.3326375844e-04,1.7596670687e+01,1.3318167318e+01
2.6413321854e-05,1.3302246854e-04,1.6362528962e+01,1.3318167318e+01
2.4022476940e-05,1.3278624630e-04,1.6923233850e+01,1.3630792309e+01
2.1638167521e-05,1.3256684529e-04,1.7925439736e+01,1.3630792309e+01
1.9257439053e-05,1.3236708261e-04,1.7569728962e+01,1.3965943436e+01
1.6872114669e-05,1.3217865306e-04,1.6497734172e+01,1.4382669256e+01
1.4479844442e-05,1.3199781222e-04,1.5419538332e+01,1.4382669256e+01
1.2079964443e-05,1.3182267634e-04,1.4276797212e+01,1.4790443147e+01
9.6721556420e-06,1.3165196803e-04,1.3149761930e+01,1.4790443147e+01
7.2563465883e-06,1.3148477347e-04,1.2028907421e+01,1.5164339678e+01
4.8325247295e-06,1.3132027833e-04,1.0909859642e+01,1.5509881152e+01
2.4006919430e-06,1.3115775356e-04,9.7949901393e+00,1.5509881152e+01
-3.9128926570e-08,1.3099654452e-04,8.7275712171e+00,1.5831546299e+01
-2.4869130944e-06,1.3083603867e-04,7.6505298100e+00,1.5831546299e+01
-4.9425590926e-06,1.3067570201e-04,6.5839374230e+00,1.6131249827e+01
-7.4058975639e-06,1.3051505241e-04,5.5958672761e+00,1.6410820956e+01
-9.8766757712e-06,1.3035358629e-04,4.5620683681e+00,1.6410820956e+01
-1.2354702479e-05,1.3019088015e-04,3.5128659573e+00,1.6672203315e+01
-1.4839984286e-05,1.3002645417e-04,2.4688875642e+00,1.6915419913e+01
-1.7332439586e-05,1.2985989487e-04,1.3169558196e+00,1.6915419913e+01
-1.9831949731e-05,1.2969081906e-04,1.4326660867e-01,1.7142383697e+01
-2.2338392082e-05,1.2951886515e-04,2.1124650142e-01,1.7142383697e+01
-2.4851617211e-05,1.2934368963e-04,1.1154599343e+00,1.7352459718e+01
-2.7371490849e-05,1.2916497280e-04,2.0332713257e+00,1.7547584889e+01
-2.9897862816e-05,1.2898240690e-04,2.9228701946e+00,1.7547584889e+01
-3.2430583520e-05,1.2879569634e-04,3.7953201383e+00,1.7728625475e+01
-3.4969505021e-05,1.2860455668e-04,4.6454720398e+00,1.7895083092e+01
