x_m y_m von_mises_Pa wss_mag_dyn_cm2 is_surface
3.7276415753e-04 3.8318784911e-05 5.9808605613e+01 6.9833526201e+00 1.0000000000e+00
3.6583427517e-04 4.7373290551e-05 5.2227938266e+01 9.9316985258e+00 1.0000000000e+00
3.6230370161e-04 5.1666669122e-05 4.9267955500e+01 1.1950044177e+01 1.0000000000e+00
3.5142266699e-04 6.3692119382e-05 4.2430103256e+01 1.5996405253e+01 1.0000000000e+00
3.4769820944e-04 6.7433144637e-05 4.0649531489e+01 1.6997636641e+01 1.0000000000e+00
3.4010490007e-04 7.4539752138e-05 3.7639938849e+01 1.9937995719e+01 1.0000000000e+00
3.3623726441e-04 7.7912251189e-05 3.6367394431e+01 2.0895391566e+01 1.0000000000e+00
3.2435806132e-04 8.7340090653e-05 3.3305220078e+01 2.4602917672e+01 1.0000000000e+00
3.1207639964e-04 9.5777083487e-05 3.1175711462e+01 2.7253341056e+01 1.0000000000e+00
2.9509183647e-04 1.0554126323e-04 2.9538613409e+01 3.1489768242e+01 1.0000000000e+00
-1.5964712736e-04 1.0610656717e-04 4.2055363384e+01 2.7371437074e+01 1.0000000000e+00
-1.8121552238e-04 1.0097479224e-04 4.3559349565e+01 2.6675594511e+01 1.0000000000e+00
-2.0256303573e-04 9.5151905320e-05 4.5136943644e+01 2.5658605699e+01 1.0000000000e+00
-2.2101129277e-04 8.9484084293e-05 4.6027331920e+01 2.4646148672e+01 1.0000000000e+00
-2.4170717181e-04 8.2352681661e-05 5.2218095137e+01 2.3268687093e+01 1.0000000000e+00
-2.5199708883e-04 7.8506459144e-05 5.4948479150e+01 2.2276214472e+01 1.0000000000e+00
-2.5968545773e-04 7.5510103082e-05 5.7152315965e+01 2.1521453253e+01 1.0000000000e+00
-2.7245779311e-04 7.0337317143e-05 6.1705021668e+01 1.9734181988e+01 1.0000000000e+00
-2.8012128246e-04 6.7159428246e-05 6.5254363774e+01 1.8679234021e+01 1.0000000000e+00
